gameId,gameDate,gameType,Team Home,Score Home,Score Away,Team Away,Shot Home EV,Miss Home EV,Block Home EV,Goal Home EV,CF EV,Shot Away EV,Miss Away EV,Block Away EV,Goal Away EV,CA EV,Shot Home 5v5,Miss Home 5v5,Block Home 5v5,Goal Home 5V5,CF 5v5,Shot Away 5v5,Miss Away 5v5,Block Away 5v5,Goal Away 5v5,CA 5v5,First Goal Home,First Goal Away,SOG Home,SOG Away,Faceoff Home,Faceoff Away,Pim Home,Pim Away
2022020001,2022-10-07,2,NSH,4,1,SJS,19,8,19,4,50,22,11,10,1,44,19,8,19,4,50,21,10,9,1,41,1,0,32,31,0.454545,0.545455,13,13
2022020002,2022-10-08,2,SJS,2,3,NSH,21,8,15,1,45,11,11,14,3,39,21,8,15,1,45,11,11,14,3,39,1,0,33,18,0.507246,0.492754,6,8
2022020003,2022-10-11,2,NYR,3,1,TBL,20,6,16,1,43,18,7,8,0,33,20,6,16,1,43,18,7,8,0,33,1,0,39,26,0.638298,0.361702,12,8
2022020004,2022-10-11,2,LAK,3,4,VGK,25,13,9,3,50,41,8,20,3,72,21,13,8,3,45,40,8,19,3,70,1,0,30,51,0.491525,0.508475,10,6
2022020005,2022-10-12,2,WSH,2,5,BOS,25,10,15,2,52,18,7,13,4,42,25,10,15,2,52,18,7,13,4,42,0,1,35,30,0.372881,0.627119,6,8
2022020006,2022-10-12,2,CAR,4,1,CBJ,33,27,20,4,84,30,10,9,1,50,33,27,20,4,84,30,10,9,1,50,0,1,43,32,0.61039,0.38961,4,4
2022020007,2022-10-12,2,MTL,4,3,TOR,14,10,13,4,41,24,4,19,3,50,13,10,13,4,40,23,4,18,3,48,0,1,23,32,0.509804,0.490196,8,8
2022020008,2022-10-12,2,COL,5,2,CHI,24,8,14,1,47,14,5,11,0,30,24,8,14,1,47,14,5,11,0,30,1,0,35,17,0.387755,0.612245,11,17
2022020009,2022-10-12,2,ANA,5,4,SEA,18,4,11,3,36,36,10,9,1,56,18,4,11,2,35,35,10,9,1,55,1,0,27,48,0.571429,0.428571,15,11
2022020010,2022-10-12,2,EDM,5,3,VAN,18,6,16,1,41,23,9,10,2,44,18,6,16,1,41,23,8,10,2,43,0,1,25,36,0.478873,0.521127,16,8
2022020011,2022-10-13,2,PIT,6,2,ARI,33,9,7,4,53,20,3,14,0,37,33,9,7,4,53,20,3,14,0,37,1,0,53,28,0.584615,0.415385,12,14
2022020012,2022-10-13,2,PHI,5,2,NJD,14,6,7,4,31,31,15,23,1,70,14,6,5,4,29,30,14,23,1,68,0,1,25,37,0.391304,0.608696,8,8
2022020013,2022-10-13,2,BUF,4,1,OTT,24,7,7,4,42,30,3,9,1,43,24,7,7,4,42,30,3,9,1,43,0,1,36,36,0.44898,0.55102,8,8
2022020014,2022-10-13,2,NYI,1,3,FLA,27,13,13,0,53,17,7,16,3,43,23,12,13,0,48,17,7,16,3,43,0,1,33,29,0.585714,0.414286,12,8
2022020015,2022-10-13,2,TOR,3,2,WSH,27,6,7,2,42,17,13,12,2,44,27,6,7,2,42,17,13,12,2,44,1,0,39,26,0.535714,0.464286,10,6
2022020016,2022-10-13,2,NSH,1,4,DAL,19,7,12,1,39,17,7,7,2,33,19,7,12,1,39,17,7,7,2,33,0,1,32,29,0.5,0.5,13,15
2022020017,2022-10-13,2,MIN,3,7,NYR,17,9,10,2,38,18,4,10,6,38,16,8,10,2,36,17,4,10,5,36,0,1,36,35,0.5,0.5,19,17
2022020018,2022-10-13,2,CGY,5,3,COL,19,6,11,2,38,20,8,9,2,39,19,6,10,2,37,20,7,8,1,36,0,1,27,25,0.584615,0.415385,12,14
2022020019,2022-10-13,2,VGK,1,0,CHI,28,13,18,1,60,21,7,18,0,46,28,13,18,1,60,21,7,18,0,46,1,0,37,27,0.491228,0.508772,4,6
2022020020,2022-10-13,2,LAK,1,4,SEA,22,8,12,0,42,14,6,7,2,29,20,8,12,0,40,13,6,7,2,28,0,1,27,22,0.576923,0.423077,21,19
