gameId,gameDate,gameType,Team Home,Score Home,Score Away,Team Away,Shot Home EV,Miss Home EV,Block Home EV,Goal Home EV,CF EV,Shot Away EV,Miss Away EV,Block Away EV,Goal Away EV,CA EV,Shot Home 5v5,Miss Home 5v5,Block Home 5v5,Goal Home 5V5,CF 5v5,Shot Away 5v5,Miss Away 5v5,Block Away 5v5,Goal Away 5v5,CA 5v5,First Goal Home,First Goal Away,SOG Home,SOG Away,Faceoff Home,Faceoff Away,Pim Home,Pim Away
2020020001,2021-01-13,2,PHI,6,3,PIT,17,8,7,4,36,28,7,11,2,48,18,8,8,4,38,28,7,11,2,48,0,1,27,34,0.58,0.42,6,6
2020020002,2021-01-13,2,T.B,5,1,CHI,19,5,7,3,34,19,4,11,0,34,19,5,7,3,34,19,4,10,0,33,1,0,33,23,0.508772,0.491228,6,8
2020020003,2021-01-13,2,TOR,5,4,MTL,21,15,19,3,58,22,12,14,2,50,18,13,19,2,52,20,11,14,2,47,0,1,34,32,0.539683,0.460317,11,13
2020020004,2021-01-13,2,EDM,3,5,VAN,22,4,9,3,38,26,7,16,5,54,22,4,9,3,38,26,7,15,5,53,0,1,31,35,0.517857,0.482143,4,8
2020020005,2021-01-13,2,COL,1,4,STL,21,5,18,0,44,23,6,11,4,44,21,5,18,0,44,23,5,11,4,43,1,0,27,32,0.54386,0.45614,4,8
2020020006,2021-01-14,2,BUF,4,6,WSH,18,7,9,3,37,17,7,6,5,35,18,7,9,3,37,17,7,6,5,35,0,1,26,28,0.491228,0.508772,9,11
2020020007,2021-01-14,2,N.J,2,3,BOS,18,15,7,2,42,29,6,12,1,48,12,12,6,2,32,23,6,11,0,40,0,1,22,37,0.425926,0.574074,10,10
2020020008,2021-01-14,2,NYR,0,4,NYI,19,5,14,0,38,24,9,7,2,42,19,5,13,0,37,24,8,6,2,40,0,1,24,33,0.411765,0.588235,18,10
2020020009,2021-02-22,2,FLA,3,1,DAL,35,7,13,3,58,21,3,6,1,31,35,7,13,3,58,21,3,6,1,31,0,1,52,25,0.561404,0.438596,7,11
2020020010,2021-01-14,2,DET,0,3,CAR,13,9,9,0,31,34,11,12,2,59,13,9,9,0,31,34,11,12,2,59,0,1,14,43,0.403509,0.596491,11,9
2020020011,2021-01-14,2,NSH,3,1,CBJ,25,13,14,3,55,25,6,19,1,51,25,13,14,3,55,25,6,19,1,51,0,1,35,30,0.460317,0.539683,4,6
2020020012,2021-01-14,2,WPG,4,3,CGY,23,3,13,3,42,18,6,13,2,39,24,3,13,2,42,18,6,11,2,37,0,1,34,26,0.545455,0.454545,8,10
2020020013,2021-01-14,2,EDM,5,2,VAN,33,8,7,3,51,30,11,21,2,64,33,8,6,3,50,30,11,21,2,64,1,0,46,40,0.464286,0.535714,20,18
2020020014,2021-01-14,2,ARI,3,4,S.J,28,11,17,2,58,27,13,10,2,52,27,10,17,2,56,25,12,9,2,48,0,1,37,35,0.546875,0.453125,8,8
2020020015,2021-01-14,2,VGK,5,2,ANA,22,5,12,5,44,18,11,18,2,49,22,5,11,5,43,18,11,18,2,49,1,0,29,22,0.421053,0.578947,2,2
2020020016,2021-01-14,2,L.A,3,4,MIN,26,9,4,2,41,12,6,10,4,32,22,7,4,1,34,12,5,8,3,28,0,1,34,27,0.612903,0.387097,12,8
2020020017,2021-01-15,2,BUF,1,2,WSH,23,8,7,1,39,19,6,8,2,35,23,8,7,1,39,19,6,8,2,35,0,1,31,21,0.530612,0.469388,0,10
2020020018,2021-01-15,2,PHI,5,2,PIT,9,3,9,4,25,22,8,4,1,35,9,3,7,4,23,22,8,4,1,35,1,0,20,33,0.46,0.54,10,12
2020020019,2021-01-15,2,T.B,5,2,CHI,24,7,5,5,41,27,7,6,1,41,24,10,6,5,45,25,7,6,1,39,1,0,37,37,0.5,0.5,8,6
2020020020,2021-05-03,2,FLA,5,4,DAL,33,7,7,4,51,22,4,15,3,44,28,7,7,4,46,22,4,15,3,44,1,0,43,29,0.517241,0.482759,9,23
2020020021,2021-01-15,2,OTT,5,3,TOR,15,11,9,4,39,16,7,14,1,38,15,11,9,4,39,16,7,13,1,37,0,1,24,23,0.448276,0.551724,12,22
2020020022,2021-01-15,2,COL,8,0,STL,18,3,6,3,30,15,4,7,0,26,17,4,5,3,29,13,4,7,0,24,1,0,38,21,0.5,0.5,10,16
2020020023,2021-01-16,2,N.J,2,1,BOS,24,8,10,2,44,25,10,6,0,41,21,8,9,1,39,21,10,5,0,36,1,0,31,28,0.350877,0.649123,11,13
2020020024,2021-01-16,2,NYR,5,0,NYI,17,7,11,4,39,18,7,4,0,29,17,7,10,4,38,17,4,4,0,25,1,0,32,23,0.446429,0.553571,8,26
2020020025,2021-01-16,2,DET,4,2,CAR,14,11,5,4,34,26,8,11,1,46,14,11,5,4,34,26,8,11,1,46,1,0,21,31,0.532258,0.467742,10,4
2020020026,2021-01-16,2,NSH,5,2,CBJ,21,9,14,5,49,34,10,10,2,56,20,9,14,5,48,33,10,10,2,55,0,1,33,44,0.54386,0.45614,4,6
2020020027,2021-01-16,2,OTT,2,3,TOR,13,6,4,2,25,25,10,20,2,57,13,6,4,2,25,25,10,20,2,57,1,0,19,40,0.375,0.625,8,10
2020020028,2021-01-16,2,CGY,3,0,VAN,23,13,8,0,44,25,5,9,0,39,23,13,8,0,44,24,5,9,0,38,1,0,35,32,0.4,0.6,8,12
2020020029,2021-01-16,2,EDM,1,5,MTL,24,9,19,1,53,25,8,11,3,47,24,9,19,1,53,25,8,11,3,47,0,1,35,36,0.603774,0.396226,4,6
2020020030,2021-01-16,2,ARI,5,3,S.J,18,17,9,4,48,24,12,13,1,50,18,16,8,4,46,24,11,13,1,49,0,1,26,34,0.595745,0.404255,12,10
2020020031,2021-01-16,2,VGK,2,1,ANA,27,14,16,2,59,20,7,16,1,44,27,14,16,1,58,20,7,16,1,44,0,1,33,22,0.5,0.5,4,2
2020020032,2021-01-16,2,L.A,3,4,MIN,26,8,5,3,42,32,11,12,4,59,19,7,5,2,33,29,7,9,3,48,0,1,33,44,0.454545,0.545455,12,12
2020020033,2021-05-05,2,T.B,6,2,DAL,12,12,11,5,40,19,5,7,2,33,12,12,11,5,40,19,5,7,2,33,1,0,20,22,0.557692,0.442308,4,8
2020020034,2021-01-17,2,FLA,5,2,CHI,26,5,5,4,40,23,5,13,1,42,25,5,5,3,38,23,5,13,0,41,1,0,36,30,0.533333,0.466667,6,8
2020020035,2021-01-17,2,PIT,4,3,WSH,21,9,7,4,41,20,8,10,2,40,16,8,5,3,32,16,5,9,2,32,1,0,27,23,0.53125,0.46875,8,10
2020020036,2021-01-18,2,NYI,1,0,BOS,9,7,11,1,28,24,12,14,0,50,9,7,9,1,26,24,11,13,0,48,1,0,17,27,0.509091,0.490909,8,12
2020020037,2021-01-18,2,PHI,1,6,BUF,20,14,16,1,51,27,7,11,4,49,20,14,16,1,51,27,7,11,4,49,0,1,22,37,0.435484,0.564516,8,2
2020020038,2021-01-18,2,DET,2,3,CBJ,35,7,10,2,54,23,6,11,3,43,34,7,9,2,52,23,5,11,3,42,1,0,37,29,0.590164,0.409836,22,24
