gameId,gameDate,gameType,Team Home,Score Home,Score Away,Team Away,Shot Home EV,Miss Home EV,Block Home EV,Goal Home EV,CF EV,Shot Away EV,Miss Away EV,Block Away EV,Goal Away EV,CA EV,Shot Home 5v5,Miss Home 5v5,Block Home 5v5,Goal Home 5V5,CF 5v5,Shot Away 5v5,Miss Away 5v5,Block Away 5v5,Goal Away 5v5,CA 5v5,First Goal Home,First Goal Away,SOG Home,SOG Away,Faceoff Home,Faceoff Away,Pim Home,Pim Away
2021020001,2021-10-12,2,TBL,2,6,PIT,25,11,14,2,52,29,12,10,6,57,25,11,14,2,52,29,12,10,6,57,0,1,28,35,0.507246,0.492754,2,2
2021020002,2021-10-12,2,VGK,4,3,SEA,18,13,11,4,46,25,13,15,3,56,18,13,11,4,46,24,13,15,3,55,1,0,30,31,0.52,0.48,8,8
2021020003,2021-10-13,2,TOR,2,1,MTL,23,19,11,1,54,24,6,11,1,42,23,19,11,1,54,24,6,11,1,42,0,1,30,32,0.58209,0.41791,8,6
2021020004,2021-10-13,2,WSH,5,1,NYR,16,10,7,1,34,15,8,12,0,35,16,10,6,1,33,12,8,12,0,32,1,0,27,24,0.392157,0.607843,16,18
2021020005,2021-10-13,2,COL,4,2,CHI,25,12,18,4,59,25,6,14,1,46,23,10,17,4,54,23,6,14,1,44,1,0,36,34,0.436364,0.563636,12,12
2021020006,2021-10-13,2,EDM,3,2,VAN,27,9,16,1,53,27,4,11,1,43,27,6,16,1,50,24,4,10,1,39,1,0,34,38,0.641509,0.358491,25,11
2021020007,2021-10-14,2,BUF,5,1,MTL,20,12,6,2,40,21,4,10,1,36,20,12,6,2,40,21,4,10,1,36,1,0,36,31,0.52459,0.47541,8,12
2021020008,2021-10-14,2,OTT,3,2,TOR,29,12,14,2,57,35,8,11,0,54,29,12,13,2,56,33,8,10,0,51,1,0,36,48,0.457627,0.542373,10,8
2021020009,2021-10-14,2,DET,6,7,TBL,14,4,6,5,29,29,8,7,4,48,12,3,5,4,24,27,7,6,3,43,1,0,26,48,0.464286,0.535714,26,20
2021020010,2021-10-14,2,FLA,5,4,PIT,28,8,10,5,51,24,11,15,2,52,25,7,9,4,45,22,9,13,2,46,1,0,39,47,0.542857,0.457143,18,12
2021020011,2021-10-14,2,NYR,2,3,DAL,24,14,18,2,58,19,9,11,2,41,24,13,18,2,57,18,9,11,1,39,0,1,33,26,0.5,0.5,6,10
2021020012,2021-10-14,2,CAR,6,3,NYI,27,12,19,4,62,23,10,10,3,46,26,12,19,4,61,21,10,10,3,44,0,1,41,28,0.552239,0.447761,6,10
2021020013,2021-10-14,2,CBJ,8,2,ARI,17,7,8,6,38,31,16,16,1,64,17,7,7,5,36,31,16,16,1,64,1,0,26,38,0.55,0.45,22,20
2021020014,2021-10-14,2,NSH,3,4,SEA,21,6,12,2,41,21,3,11,2,37,21,6,11,2,40,20,3,9,2,34,1,0,30,26,0.557143,0.442857,11,11
2021020015,2021-10-13,2,ANA,4,1,WPG,10,7,3,2,22,20,12,11,1,44,10,7,3,2,22,18,12,10,1,41,1,0,22,34,0.471698,0.528302,24,14
2021020016,2021-10-14,2,LAK,6,2,VGK,39,15,20,4,78,22,6,11,2,41,39,15,20,4,78,22,6,11,2,41,0,1,47,25,0.492308,0.507692,7,9
2021020017,2021-10-15,2,NJD,4,3,CHI,21,14,7,4,46,18,8,12,1,39,21,14,7,3,45,18,8,11,1,38,1,0,29,27,0.482143,0.517857,10,4
2021020018,2021-10-15,2,PHI,4,5,VAN,23,13,13,3,52,32,5,15,4,56,20,12,12,3,47,26,5,14,2,47,1,0,35,39,0.625,0.375,8,6
2021020019,2021-10-15,2,ANA,1,2,MIN,17,9,10,0,36,32,15,13,1,61,17,9,10,0,36,32,15,13,1,61,1,0,29,43,0.538462,0.461538,25,23
2021020020,2021-10-16,2,BOS,3,1,DAL,31,6,6,3,46,15,8,4,1,28,31,6,6,2,45,15,7,3,1,26,1,0,40,28,0.467742,0.532258,14,8
2021020021,2021-10-16,2,BUF,2,1,ARI,30,9,9,2,50,17,8,7,2,34,28,7,9,0,44,14,7,6,1,28,0,1,33,21,0.575,0.425,4,4
2021020022,2021-10-16,2,TOR,3,1,OTT,17,16,18,3,54,19,14,9,0,42,17,16,18,3,54,19,14,9,0,42,1,0,29,21,0.649123,0.350877,4,6
2021020023,2021-10-16,2,MTL,1,3,NYR,24,5,14,1,44,17,7,9,2,35,24,5,14,1,44,17,7,9,2,35,0,1,32,24,0.607143,0.392857,8,6
2021020024,2021-10-16,2,DET,3,1,VAN,16,2,10,2,30,35,11,19,1,66,13,2,9,2,26,30,10,14,1,55,1,0,21,41,0.548387,0.451613,26,24
2021020025,2021-10-16,2,FLA,5,1,NYI,24,14,21,5,64,21,10,10,0,41,22,14,21,5,62,20,9,10,0,39,1,0,29,30,0.433333,0.566667,12,6
2021020026,2021-10-16,2,PIT,5,2,CHI,19,7,8,5,39,12,5,13,1,31,19,7,8,5,39,12,5,13,1,31,1,0,26,20,0.459459,0.540541,8,6
2021020027,2021-10-16,2,WSH,1,2,TBL,25,7,13,1,46,22,14,16,2,54,24,5,12,1,42,21,13,16,1,51,1,0,33,24,0.482143,0.517857,2,8
2021020028,2021-10-16,2,CBJ,2,1,SEA,23,12,21,2,58,19,11,15,1,46,22,12,19,1,54,18,11,14,1,44,0,1,25,20,0.537037,0.462963,2,0
2021020029,2021-10-16,2,NSH,2,3,CAR,26,6,10,2,44,25,11,7,3,46,26,6,10,2,44,25,11,7,3,46,0,1,40,32,0.5,0.5,8,8
2021020030,2021-10-16,2,COL,3,5,STL,25,16,15,3,59,18,7,8,4,37,25,15,15,2,57,18,7,8,4,37,0,1,32,28,0.515625,0.484375,9,11
2021020031,2021-10-16,2,EDM,5,2,CGY,22,7,4,3,36,33,11,12,1,57,18,6,4,3,31,31,11,11,1,54,1,0,33,47,0.507246,0.492754,12,10
2021020032,2021-10-16,2,LAK,2,3,MIN,25,10,13,1,49,24,7,5,3,39,25,10,13,1,49,24,7,5,3,39,1,0,31,30,0.510204,0.489796,4,10
2021020033,2021-10-16,2,SJS,4,3,WPG,18,10,12,1,41,16,6,19,2,43,17,9,11,1,38,15,6,19,2,42,0,1,31,23,0.588235,0.411765,13,17
2021020034,2021-10-17,2,OTT,3,2,DAL,22,9,11,1,43,30,9,16,2,57,22,9,11,1,43,30,9,16,2,57,0,1,27,34,0.438596,0.561404,9,11
2021020035,2021-10-18,2,TOR,1,2,NYR,32,15,10,1,58,19,11,11,2,43,28,13,10,1,52,16,11,10,1,38,0,1,41,23,0.759259,0.240741,6,6
2021020036,2021-10-18,2,PHI,6,1,SEA,20,8,6,6,40,17,5,7,1,30,19,7,6,6,38,17,5,5,1,28,1,0,27,24,0.615385,0.384615,40,46
2021020037,2021-10-18,2,CGY,2,3,ANA,34,11,14,2,61,23,14,5,2,44,33,11,14,2,60,21,12,4,1,38,1,0,43,27,0.538462,0.461538,9,11
2021020038,2021-10-18,2,ARI,4,7,STL,15,13,5,3,36,20,8,6,6,40,15,13,5,3,36,19,8,6,6,39,1,0,26,33,0.509091,0.490909,18,16
2021020039,2021-10-19,2,BUF,5,2,VAN,27,7,8,5,47,26,2,5,2,35,27,7,8,5,47,26,2,5,2,35,0,1,43,34,0.520833,0.479167,6,6
2021020040,2021-10-19,2,MTL,0,5,SJS,16,12,15,0,43,13,5,9,3,30,16,12,15,0,43,13,5,9,3,30,0,1,21,25,0.38,0.62,10,6
2021020041,2021-10-19,2,DET,4,1,CBJ,35,9,5,4,53,20,12,7,0,39,35,9,4,4,52,20,12,7,0,39,1,0,45,23,0.492063,0.507937,8,8
2021020042,2021-10-19,2,TBL,1,4,FLA,21,8,6,1,36,22,6,11,3,42,21,8,6,1,36,22,6,11,3,42,0,1,31,32,0.609375,0.390625,6,12
2021020043,2021-10-19,2,NJD,4,2,SEA,23,10,7,4,44,21,10,12,1,44,23,10,7,4,44,21,9,12,1,43,1,0,33,29,0.487179,0.512821,35,41
2021020044,2021-10-19,2,PIT,1,2,DAL,29,13,16,2,60,29,7,8,3,47,21,12,15,1,49,22,5,8,1,36,0,1,28,29,0.416667,0.583333,2,2
2021020045,2021-10-19,2,WSH,6,3,COL,28,11,11,6,56,17,6,10,1,34,27,11,11,6,55,16,4,10,1,31,1,0,40,27,0.551724,0.448276,10,8
2021020046,2021-10-19,2,CHI,1,4,NYI,30,8,16,1,55,18,7,11,4,40,30,8,16,1,55,18,7,11,4,40,0,1,40,29,0.428571,0.571429,9,11
2021020047,2021-10-19,2,NSH,2,1,LAK,25,13,15,1,54,22,8,11,1,42,24,13,15,1,53,22,8,11,1,42,0,1,31,26,0.596491,0.403509,4,4
2021020048,2021-10-19,2,MIN,6,5,WPG,34,7,15,3,59,19,7,17,3,46,32,7,15,3,57,16,7,15,3,41,0,1,44,30,0.606557,0.393443,19,17
2021020049,2021-10-19,2,EDM,6,5,ANA,25,8,13,4,50,28,9,16,5,58,24,8,12,4,48,27,9,15,5,56,0,1,37,36,0.580645,0.419355,4,12
2021020050,2021-10-20,2,PHI,6,3,BOS,18,5,15,4,42,35,9,22,3,69,18,5,15,4,42,35,9,22,3,69,1,0,25,40,0.52,0.48,2,4
2021020051,2021-10-20,2,VGK,1,3,STL,39,8,12,1,60,30,6,16,3,55,38,8,12,1,59,30,5,14,3,52,1,0,43,38,0.418182,0.581818,6,4
2021020052,2021-10-21,2,MTL,1,4,CAR,22,9,16,0,47,27,11,6,3,47,22,9,16,0,47,25,10,6,3,44,0,1,28,33,0.44898,0.55102,4,12
2021020053,2021-10-21,2,OTT,1,2,SJS,25,19,18,1,63,18,7,16,1,42,18,19,17,1,55,18,5,15,1,39,1,0,31,24,0.527273,0.472727,10,10
2021020054,2021-10-21,2,DET,0,3,CGY,32,12,6,0,50,23,6,12,3,44,32,12,6,0,50,23,6,12,3,44,0,1,33,29,0.489362,0.510638,9,11
2021020055,2021-10-21,2,FLA,4,1,COL,27,7,15,3,52,30,2,12,1,45,26,7,15,3,51,29,2,12,1,44,1,0,38,31,0.596774,0.403226,6,10
2021020056,2021-10-21,2,NJD,1,4,WSH,23,10,14,0,47,21,13,9,4,47,22,10,13,0,45,20,13,9,4,46,0,1,26,27,0.4375,0.5625,8,4
2021020057,2021-10-21,2,CBJ,3,2,NYI,24,8,10,2,44,28,11,10,2,51,23,7,10,1,41,26,10,10,2,48,0,1,32,36,0.5,0.5,6,8
2021020058,2021-10-21,2,CHI,1,4,VAN,21,7,13,0,41,13,10,11,3,37,21,7,13,0,41,13,10,11,3,37,0,1,30,25,0.448276,0.551724,13,13
2021020059,2021-10-21,2,NSH,1,3,NYR,23,10,8,1,42,18,12,4,3,37,23,10,8,1,42,18,12,4,3,37,0,1,29,30,0.546875,0.453125,10,8
2021020060,2021-10-21,2,WPG,5,1,ANA,17,9,11,4,41,33,6,13,0,52,17,9,11,4,41,33,6,13,0,52,0,1,27,39,0.48,0.52,6,4
2021020061,2021-10-21,2,ARI,1,5,EDM,24,7,8,1,40,22,13,14,2,51,24,7,8,1,40,22,13,14,2,51,0,1,28,31,0.436364,0.563636,4,18
2021020062,2021-10-22,2,BUF,1,4,BOS,30,10,19,1,60,19,6,6,3,34,30,10,19,1,60,19,6,6,3,34,0,1,36,26,0.369565,0.630435,4,8
2021020063,2021-10-22,2,TOR,3,5,SJS,25,15,15,3,58,22,6,9,5,42,25,15,15,3,58,22,6,9,5,42,0,1,33,31,0.52381,0.47619,6,4
2021020064,2021-10-22,2,DAL,3,2,LAK,14,10,13,1,38,31,10,15,1,57,10,9,11,0,30,25,8,14,1,48,0,1,23,45,0.466667,0.533333,23,10
2021020065,2021-10-22,2,VGK,3,5,EDM,31,15,13,3,62,19,8,11,4,42,31,15,13,3,62,19,8,11,4,42,1,0,39,33,0.462687,0.537313,6,6
2021020066,2021-10-23,2,MTL,6,1,DET,16,11,22,5,54,20,7,14,0,41,16,11,22,5,54,20,7,14,0,41,0,1,24,27,0.479167,0.520833,6,8
2021020067,2021-10-23,2,OTT,2,3,NYR,24,9,12,2,47,14,8,15,2,39,22,9,12,1,44,13,8,15,1,37,1,0,28,26,0.6,0.4,20,20
2021020068,2021-10-23,2,TBL,3,4,COL,23,17,6,5,51,18,9,8,5,40,21,11,4,3,39,12,7,7,2,28,0,1,32,27,0.523077,0.476923,14,8
2021020069,2021-10-23,2,NJD,2,1,BUF,35,16,13,1,65,24,9,8,0,41,33,15,13,0,61,24,8,7,0,39,0,1,39,25,0.66,0.34,6,8
2021020070,2021-10-23,2,PHI,2,4,FLA,21,8,11,0,40,22,16,9,2,49,21,8,11,0,40,22,16,8,2,48,0,1,29,31,0.587302,0.412698,14,8
2021020071,2021-10-23,2,PIT,7,1,TOR,20,5,6,6,37,20,9,15,1,45,20,5,6,6,37,20,9,15,1,45,1,0,33,29,0.639344,0.360656,13,17
2021020072,2021-10-23,2,WSH,3,4,CGY,18,11,18,2,49,19,8,17,2,46,15,11,17,2,45,18,8,17,1,44,0,1,25,27,0.491525,0.508475,6,8
2021020073,2021-10-23,2,CBJ,1,5,CAR,21,8,12,0,41,20,7,9,2,38,21,8,12,0,41,20,7,9,2,38,0,1,28,33,0.436364,0.563636,12,8
2021020074,2021-10-23,2,STL,7,3,LAK,24,7,12,2,45,27,11,5,3,46,22,7,11,2,42,27,10,3,3,43,0,1,40,35,0.530303,0.469697,8,14
2021020075,2021-10-23,2,MIN,4,3,ANA,24,5,17,4,50,17,7,16,2,42,20,5,17,2,44,14,6,12,2,34,0,1,36,24,0.5,0.5,10,12
2021020076,2021-10-23,2,WPG,6,4,NSH,19,8,11,4,42,19,18,17,2,56,19,8,11,4,42,19,18,17,2,56,0,1,29,30,0.627119,0.372881,13,11
2021020077,2021-10-23,2,ARI,0,3,NYI,25,12,16,0,53,20,9,14,2,45,24,12,15,0,51,20,9,12,2,43,0,1,26,24,0.464286,0.535714,9,7
2021020078,2021-10-23,2,SEA,2,4,VAN,25,17,7,2,51,19,13,13,3,48,25,16,7,2,50,19,13,13,3,48,1,0,31,26,0.389831,0.610169,8,4
2021020079,2021-10-24,2,BOS,4,3,SJS,25,12,6,3,46,17,6,11,3,37,24,12,6,3,45,17,6,11,3,37,1,0,34,26,0.516129,0.483871,11,13
2021020080,2021-10-24,2,CHI,3,6,DET,15,10,12,2,39,26,4,8,5,43,12,9,12,2,35,25,4,7,5,41,0,1,35,37,0.527273,0.472727,16,12
2021020081,2021-10-24,2,MIN,2,5,NSH,25,9,12,2,48,15,10,6,3,34,24,9,12,2,47,15,10,6,3,34,0,1,35,29,0.457143,0.542857,12,10
2021020082,2021-10-24,2,VGK,0,2,NYI,36,14,19,0,69,20,13,7,2,42,36,14,19,0,69,20,13,7,2,42,0,1,42,26,0.553571,0.446429,4,4
2021020083,2021-10-25,2,BUF,5,1,TBL,16,10,8,5,39,33,15,17,1,66,15,10,8,5,38,32,15,17,1,65,1,0,25,36,0.54902,0.45098,6,4
2021020084,2021-10-25,2,OTT,5,7,WSH,26,8,11,4,49,23,10,16,7,56,26,8,11,4,49,23,10,15,7,55,1,0,37,31,0.619718,0.380282,14,16
2021020085,2021-10-25,2,FLA,5,3,ARI,30,11,15,3,59,15,6,9,3,33,30,10,15,3,58,13,6,9,3,31,0,1,41,21,0.571429,0.428571,9,23
2021020086,2021-10-25,2,NYR,1,5,CGY,22,11,14,1,48,30,7,16,4,57,22,11,14,1,48,29,7,15,3,54,0,1,29,37,0.607843,0.392157,6,6
2021020087,2021-10-25,2,CAR,4,1,TOR,29,11,8,4,52,22,11,14,1,48,29,10,7,4,50,22,11,14,1,48,0,1,36,25,0.5,0.5,6,6
2021020088,2021-10-25,2,CBJ,4,1,DAL,14,10,11,4,39,22,10,7,1,40,14,10,11,4,39,22,10,7,1,40,1,0,26,32,0.5,0.5,8,10
2021020089,2021-10-25,2,STL,3,0,LAK,26,7,11,3,47,23,7,6,0,36,26,7,11,3,47,23,7,6,0,36,1,0,35,34,0.581818,0.418182,6,4
2021020090,2021-10-26,2,NJD,3,5,CGY,23,9,13,2,47,20,11,16,3,50,22,8,13,2,45,20,11,15,3,49,0,1,30,29,0.477612,0.522388,10,12
2021020091,2021-10-26,2,PIT,1,5,TBL,22,10,10,0,42,24,4,9,5,42,22,10,10,0,42,24,4,9,5,42,0,1,29,31,0.482143,0.517857,11,15
2021020092,2021-10-26,2,NSH,3,1,SJS,22,7,8,2,39,22,8,12,1,43,22,7,8,2,39,22,8,12,1,43,1,0,26,29,0.462687,0.537313,6,2
2021020093,2021-10-26,2,COL,1,3,VGK,24,8,21,1,54,19,7,11,2,39,24,8,21,0,53,19,7,11,2,39,0,1,27,29,0.603774,0.396226,24,21
2021020094,2021-10-26,2,VAN,2,3,MIN,16,7,14,1,38,23,5,8,3,39,16,7,14,1,38,23,5,8,3,39,0,1,24,30,0.545455,0.454545,4,6
2021020095,2021-10-26,2,ANA,3,4,WPG,25,14,10,3,52,18,12,12,4,46,25,14,10,3,52,18,12,12,4,46,0,1,35,25,0.457627,0.542373,2,6
2021020096,2021-10-26,2,SEA,5,1,MTL,15,6,13,5,39,19,5,5,1,30,15,6,13,5,39,19,5,5,1,30,1,0,26,24,0.6,0.4,4,8
2021020097,2021-10-27,2,FLA,4,1,BOS,22,11,12,4,49,25,8,16,1,50,20,11,12,4,47,25,8,16,1,50,0,1,27,31,0.339286,0.660714,4,2
2021020098,2021-10-27,2,WSH,2,3,DET,22,11,4,0,37,18,9,11,3,41,21,11,4,0,36,18,9,11,2,40,1,0,28,25,0.423077,0.576923,4,8
2021020099,2021-10-27,2,CHI,2,3,TOR,21,7,5,1,34,28,12,19,3,62,18,7,5,1,31,26,12,19,2,59,1,0,29,40,0.418182,0.581818,8,8
