gameId,gameDate,gameType,Team Home,Score Home,Score Away,Team Away,Shot Home EV,Miss Home EV,Block Home EV,Goal Home EV,CF EV,Shot Away EV,Miss Away EV,Block Away EV,Goal Away EV,CA EV,Shot Home 5v5,Miss Home 5v5,Block Home 5v5,Goal Home 5V5,CF 5v5,Shot Away 5v5,Miss Away 5v5,Block Away 5v5,Goal Away 5v5,CA 5v5,First Goal Home,First Goal Away,SOG Home,SOG Away,Faceoff Home,Faceoff Away,Pim Home,Pim Away
2023020692,2024-01-18,2,BOS,5,2,COL,20,10,20,4,54,28,15,13,2,58,20,10,19,4,53,28,15,13,2,58,1,0,31,32,0.491803,0.508197,4,6
2023020693,2024-01-18,2,OTT,6,2,MTL,28,22,13,6,69,17,11,15,2,45,28,22,13,5,68,17,11,14,2,44,1,0,37,23,0.47619,0.52381,15,11
2023020694,2024-01-18,2,PHI,5,1,DAL,28,11,21,4,64,10,9,19,1,39,28,11,21,3,63,10,9,19,1,39,1,0,43,15,0.5,0.5,4,8
2023020695,2024-01-18,2,TBL,7,3,MIN,23,14,13,4,54,26,11,18,3,58,23,14,13,4,54,26,11,18,3,58,0,1,38,33,0.641509,0.358491,8,10
2023020696,2024-01-18,2,WSH,5,2,STL,14,4,14,3,35,10,8,14,2,34,14,4,14,3,35,10,8,14,2,34,1,0,26,20,0.509804,0.490196,10,8
2023020697,2024-01-18,2,CGY,3,4,TOR,22,17,12,2,53,25,15,13,3,56,22,17,11,2,52,24,15,11,3,53,1,0,26,32,0.460317,0.539683,6,8
2023020698,2024-01-18,2,EDM,4,2,SEA,23,5,9,2,39,17,8,15,2,42,22,5,8,2,37,16,8,13,2,39,0,1,36,27,0.68,0.32,24,23
2023020699,2024-01-18,2,LAK,1,2,NSH,27,18,19,0,64,24,13,13,1,51,27,18,19,0,64,23,13,13,1,50,0,1,34,33,0.551724,0.448276,6,10
2023020700,2024-01-18,2,VAN,2,1,ARI,17,6,6,1,30,19,5,11,1,36,17,6,6,1,30,19,5,11,1,36,1,0,26,21,0.716981,0.283019,11,17
2023020701,2024-01-18,2,VGK,5,1,NYR,17,3,13,3,36,24,15,20,0,59,17,3,13,3,36,24,15,20,0,59,1,0,26,30,0.5,0.5,6,6
2023020702,2024-01-19,2,CAR,4,2,DET,26,14,19,3,62,10,10,9,1,30,26,14,19,3,62,10,10,9,1,30,0,1,30,12,0.557377,0.442623,2,2
2023020703,2024-01-19,2,CBJ,1,4,NJD,27,18,16,1,62,22,7,13,4,46,27,17,16,1,61,22,7,13,4,46,1,0,30,33,0.358491,0.641509,8,6
2023020704,2024-01-19,2,FLA,4,6,MIN,25,19,30,4,78,8,10,6,1,25,25,19,30,4,78,8,10,6,1,25,0,1,35,26,0.474576,0.525424,26,22
2023020705,2024-01-19,2,CHI,4,3,NYI,19,10,18,4,51,26,16,25,3,70,19,10,17,3,49,24,14,25,3,66,0,1,24,30,0.459016,0.540984,6,6
2023020706,2024-01-20,2,BUF,1,3,TBL,23,14,13,1,51,10,13,11,2,36,21,13,13,1,48,10,13,11,2,36,0,1,27,16,0.469388,0.530612,6,4
2023020707,2024-01-20,2,PHI,4,7,COL,28,13,27,4,72,13,5,13,6,37,28,13,27,4,72,13,5,13,6,37,0,1,40,25,0.644068,0.355932,4,6
2023020708,2024-01-20,2,ARI,3,2,NSH,16,18,13,3,50,20,14,14,1,49,16,18,13,3,50,20,14,14,1,49,1,0,24,32,0.526316,0.473684,12,4
2023020709,2024-01-20,2,OTT,1,2,WPG,26,10,16,1,53,19,9,13,2,43,25,10,14,1,50,16,9,13,1,39,0,1,35,29,0.5,0.5,13,13
2023020710,2024-01-20,2,BOS,9,4,MTL,23,6,8,8,45,17,10,12,2,41,23,6,8,8,45,17,10,12,2,41,0,1,36,21,0.509091,0.490909,11,11
2023020711,2024-01-20,2,NJD,2,6,DAL,27,13,15,2,57,25,13,16,4,58,26,11,15,2,54,25,12,16,4,57,0,1,31,36,0.515625,0.484375,22,6
2023020712,2024-01-20,2,VAN,6,4,TOR,13,12,11,4,40,33,10,14,3,60,13,12,11,4,40,33,10,14,3,60,1,0,21,46,0.381818,0.618182,18,14
2023020713,2024-01-20,2,STL,3,0,WSH,21,9,16,1,47,13,7,12,0,32,21,9,16,1,47,13,7,12,0,32,1,0,29,18,0.408163,0.591837,22,20
2023020714,2024-01-20,2,CGY,1,3,EDM,22,7,14,1,44,26,12,9,3,50,17,7,14,1,39,23,12,9,3,47,0,1,27,32,0.535714,0.464286,4,6
2023020715,2024-01-20,2,SJS,5,3,ANA,12,14,20,5,51,26,10,13,2,51,12,14,20,5,51,26,10,13,2,51,1,0,19,34,0.490566,0.509434,10,8
2023020716,2024-01-20,2,VGK,3,2,PIT,21,14,10,3,48,19,11,20,2,52,21,14,10,3,48,19,11,20,2,52,0,1,29,25,0.440678,0.559322,2,8
2023020717,2024-01-20,2,LAK,2,1,NYR,24,9,17,2,52,16,11,13,1,41,24,9,17,2,52,16,11,13,1,41,1,0,26,23,0.56,0.44,6,2
2023020718,2024-01-21,2,PHI,3,5,OTT,17,6,15,1,39,26,14,12,5,57,17,6,14,1,38,25,14,12,5,56,1,0,25,34,0.375,0.625,6,8
2023020719,2024-01-21,2,CAR,2,5,MIN,28,18,20,2,68,11,8,8,5,32,28,17,20,2,67,11,8,8,5,32,1,0,42,19,0.606557,0.393443,4,8
2023020720,2024-01-21,2,DET,2,1,TBL,24,4,14,2,44,17,12,9,1,39,24,4,14,2,44,17,12,9,1,39,0,1,35,28,0.507937,0.492063,6,4
2023020721,2024-01-21,2,NYI,3,2,DAL,23,9,10,3,45,35,12,18,2,67,23,9,10,2,44,35,12,18,2,67,1,0,28,43,0.396552,0.603448,6,0
2023020722,2024-01-21,2,ANA,2,5,NYR,13,3,9,2,27,26,17,26,3,72,13,3,9,2,27,26,17,26,3,72,1,0,18,33,0.52459,0.47541,8,6
2023020723,2024-01-21,2,SEA,1,3,TOR,16,10,19,1,46,19,18,15,3,55,16,10,19,1,46,19,18,15,3,55,0,1,17,26,0.283019,0.716981,11,11
2023020724,2024-01-22,2,BOS,4,1,WPG,13,12,9,3,37,18,12,11,1,42,13,12,9,3,37,18,12,11,1,42,1,0,21,21,0.5,0.5,6,6
2023020725,2024-01-22,2,NJD,6,5,VGK,26,15,14,6,61,25,10,13,5,53,23,11,13,5,52,24,10,12,4,50,0,1,38,32,0.461538,0.538462,2,6
2023020726,2024-01-22,2,NSH,1,4,FLA,20,5,14,1,40,26,10,18,3,57,18,5,14,1,38,26,10,16,3,55,0,1,27,38,0.542373,0.457627,13,15
2023020727,2024-01-22,2,ARI,5,2,PIT,19,13,15,4,51,21,7,16,2,46,17,12,15,4,48,20,7,16,2,45,1,0,26,27,0.378788,0.621212,6,6
2023020728,2024-01-22,2,VAN,2,0,CHI,24,17,10,2,53,20,8,9,0,37,23,17,10,2,52,19,8,9,0,36,1,0,29,31,0.447368,0.552632,10,6
2023020729,2024-01-22,2,LAK,3,4,SJS,45,18,21,2,86,20,9,22,5,56,38,18,21,2,79,18,9,21,3,51,0,1,47,27,0.45283,0.54717,2,6
2023020730,2024-01-23,2,DET,4,5,DAL,24,11,26,1,62,30,8,18,4,60,24,11,26,1,62,30,8,18,4,60,0,1,34,38,0.4,0.6,4,8
2023020731,2024-01-23,2,MTL,1,4,OTT,20,9,14,1,44,19,6,9,3,37,19,8,14,1,42,18,6,7,2,33,0,1,25,28,0.52,0.48,10,10
2023020732,2024-01-23,2,PHI,3,6,TBL,26,19,15,2,62,14,8,21,4,47,25,18,14,1,58,14,8,21,4,47,0,1,32,21,0.557692,0.442308,8,6
2023020733,2024-01-23,2,NYI,2,3,VGK,32,19,16,1,68,18,7,6,2,33,31,19,16,1,67,18,7,6,2,33,0,1,42,27,0.528302,0.471698,6,6
2023020734,2024-01-23,2,MIN,5,3,WSH,21,10,11,5,47,23,8,8,2,41,21,10,11,5,47,23,8,8,2,41,1,0,30,33,0.5,0.5,8,4
2023020735,2024-01-23,2,CGY,3,4,STL,27,9,17,3,56,19,8,15,3,45,27,9,17,3,56,19,8,15,3,45,1,0,35,26,0.526316,0.473684,2,6
2023020736,2024-01-23,2,EDM,4,1,CBJ,17,8,14,3,42,22,11,12,1,46,17,8,14,3,42,22,11,12,1,46,1,0,24,27,0.510204,0.489796,10,6
2023020737,2024-01-23,2,ANA,4,2,BUF,25,9,8,3,45,25,13,17,1,56,24,9,8,3,44,24,13,16,1,54,1,0,36,30,0.509804,0.490196,38,30
2023020738,2024-01-23,2,SJS,3,2,NYR,15,13,15,3,46,25,11,13,2,51,15,12,15,2,44,23,11,12,2,48,0,1,22,31,0.396552,0.603448,6,6
2023020739,2024-01-24,2,FLA,6,2,ARI,28,3,5,5,41,26,10,7,1,44,28,3,5,5,41,26,10,7,1,44,1,0,42,33,0.541667,0.458333,36,30
2023020740,2024-01-24,2,TOR,1,0,WPG,18,10,8,1,37,28,15,18,0,61,17,9,8,0,34,26,15,18,0,59,0,0,30,32,0.648148,0.351852,4,10
2023020741,2024-01-24,2,BOS,2,3,CAR,21,5,6,2,34,27,17,10,1,55,21,5,6,2,34,27,17,10,1,55,0,1,28,33,0.52,0.48,6,8
2023020742,2024-01-24,2,COL,6,2,WSH,23,9,17,3,52,18,20,23,2,63,23,8,17,2,50,18,20,23,1,62,1,0,31,25,0.546875,0.453125,10,8
2023020743,2024-01-24,2,SEA,6,2,CHI,21,8,19,6,54,25,14,16,1,56,21,8,19,6,54,25,14,16,1,56,1,0,28,34,0.507463,0.492537,6,6
2023020744,2024-01-24,2,VAN,3,4,STL,23,18,21,2,64,12,9,15,3,39,22,18,21,2,63,12,8,14,2,36,0,1,32,18,0.520833,0.479167,6,6
2023020745,2024-01-24,2,LAK,3,5,BUF,31,16,11,2,60,26,8,16,5,55,31,16,11,2,60,26,8,16,5,55,1,0,40,37,0.54386,0.45614,8,6
2023020746,2024-01-25,2,CAR,3,2,NJD,17,12,7,2,38,22,9,12,2,45,17,12,7,2,38,22,9,11,2,44,1,0,23,25,0.568627,0.431373,6,8
2023020747,2024-01-25,2,DET,3,0,PHI,9,6,13,2,30,23,12,22,0,57,9,6,13,2,30,23,12,22,0,57,1,0,17,30,0.618182,0.381818,17,19
2023020748,2024-01-25,2,MTL,4,3,NYI,13,4,7,2,26,29,17,12,0,58,13,4,7,1,25,28,16,12,0,56,1,0,26,46,0.48,0.52,15,10
2023020749,2024-01-25,2,OTT,2,3,BOS,29,8,19,0,56,18,6,15,2,41,27,8,18,0,53,16,6,15,1,38,0,1,37,23,0.509091,0.490909,8,18
2023020750,2024-01-25,2,TBL,6,3,ARI,20,8,14,5,47,16,6,17,3,42,20,8,14,5,47,16,6,17,3,42,1,0,37,20,0.44186,0.55814,12,26
2023020751,2024-01-25,2,DAL,4,3,ANA,33,12,16,4,65,17,13,6,3,39,33,11,16,3,63,14,13,6,3,36,1,0,44,21,0.591837,0.408163,2,6
2023020752,2024-01-25,2,MIN,2,3,NSH,14,7,13,0,34,25,11,18,3,57,14,7,13,0,34,25,11,18,3,57,1,0,24,29,0.516667,0.483333,26,20
2023020753,2024-01-25,2,CGY,2,5,CBJ,21,14,12,2,49,18,6,16,3,43,21,14,12,2,49,18,6,16,3,43,0,1,30,32,0.566667,0.433333,19,4
2023020754,2024-01-25,2,EDM,3,0,CHI,29,14,16,2,61,27,8,10,0,45,28,14,16,2,60,26,8,9,0,43,1,0,34,27,0.584906,0.415094,2,4
2023020755,2024-01-26,2,NYR,2,5,VGK,31,16,22,2,71,14,12,10,5,41,31,16,22,2,71,14,12,10,5,41,0,1,38,20,0.491803,0.508197,4,4
2023020756,2024-01-26,2,PIT,2,3,FLA,19,10,17,2,48,23,13,17,2,55,17,9,16,1,43,20,12,17,0,49,1,0,37,31,0.555556,0.444444,6,16
2023020757,2024-01-26,2,COL,5,1,LAK,21,8,13,4,46,17,9,13,0,39,19,5,12,4,40,16,9,13,0,38,1,0,31,27,0.480769,0.519231,14,12
2023020758,2024-01-26,2,SEA,3,4,STL,32,17,19,2,70,12,14,6,2,34,31,16,19,2,68,11,12,6,1,30,0,1,36,18,0.46,0.54,4,4
2023020759,2024-01-27,2,PHI,2,6,BOS,31,10,18,2,61,17,10,7,6,40,31,10,18,2,61,17,10,7,6,40,0,1,37,28,0.584906,0.415094,6,6
2023020760,2024-01-27,2,DAL,5,4,WSH,28,12,19,4,63,18,16,10,3,47,28,12,17,3,60,18,16,10,3,47,0,1,35,28,0.622951,0.377049,4,4
2023020761,2024-01-27,2,EDM,4,1,NSH,16,12,14,2,44,24,17,15,1,57,16,12,14,2,44,24,17,15,1,57,1,0,21,29,0.423077,0.576923,6,6
2023020762,2024-01-27,2,SJS,2,5,BUF,22,19,19,2,62,26,17,11,5,59,21,19,19,2,61,26,17,11,4,58,1,0,26,36,0.550725,0.449275,10,10
2023020763,2024-01-27,2,CAR,3,1,ARI,32,23,26,2,83,9,6,13,1,29,31,23,26,2,82,9,6,13,1,29,0,1,39,11,0.636364,0.363636,4,6
2023020764,2024-01-27,2,DET,5,2,VGK,21,9,10,4,44,25,6,9,2,42,21,9,10,4,44,25,6,9,2,42,1,0,29,30,0.4375,0.5625,4,4
2023020765,2024-01-27,2,OTT,2,7,NYR,26,16,14,1,57,19,8,16,7,50,26,16,14,1,57,19,7,16,5,47,1,0,31,29,0.465517,0.534483,28,14
2023020766,2024-01-27,2,PIT,3,2,MTL,26,20,22,3,71,24,15,5,1,45,26,20,22,2,70,23,14,4,1,42,0,1,33,27,0.610169,0.389831,2,4
2023020767,2024-01-27,2,TBL,6,3,NJD,31,14,13,6,64,18,12,8,3,41,31,14,13,6,64,18,12,8,3,41,1,0,42,24,0.508772,0.491228,2,6
2023020768,2024-01-27,2,WPG,2,4,TOR,20,18,10,2,50,25,7,10,2,44,20,17,9,2,48,25,7,10,2,44,1,0,26,30,0.377778,0.622222,12,14
2023020769,2024-01-27,2,NYI,2,3,FLA,21,15,8,2,46,25,9,18,1,53,20,15,8,2,45,23,8,18,0,49,0,1,23,37,0.462687,0.537313,8,2
2023020770,2024-01-27,2,MIN,2,3,ANA,24,6,15,2,47,15,8,11,3,37,24,6,15,2,47,15,8,11,3,37,1,0,37,25,0.491228,0.508772,4,8
2023020771,2024-01-27,2,CGY,1,0,CHI,27,12,18,0,57,31,11,8,0,50,27,12,18,0,57,31,11,8,0,50,1,0,31,32,0.472727,0.527273,4,4
2023020772,2024-01-27,2,VAN,5,4,CBJ,24,14,14,2,54,17,7,14,2,40,23,12,13,1,49,15,7,14,2,38,0,1,34,29,0.642857,0.357143,19,8
2023020773,2024-01-28,2,STL,4,3,LAK,17,3,10,3,33,26,11,12,2,51,16,3,10,2,31,26,11,12,2,51,0,1,32,33,0.509434,0.490566,2,12
2023020774,2024-01-28,2,SEA,4,2,CBJ,21,10,19,2,52,28,12,12,2,54,21,9,19,2,51,28,12,12,2,54,1,0,26,32,0.590164,0.409836,4,6
2023020775,2024-01-29,2,OTT,4,3,NSH,25,16,13,4,58,19,6,23,3,51,24,15,11,3,53,18,6,22,3,49,0,1,35,28,0.5,0.5,8,8
2023020776,2024-01-30,2,STL,0,1,CBJ,19,13,18,0,50,19,13,16,1,49,19,13,17,0,49,19,13,16,1,49,0,1,21,22,0.510638,0.489362,9,11
2023020777,2024-01-30,2,SJS,2,0,SEA,19,10,11,2,42,29,17,16,0,62,19,10,11,2,42,29,17,16,0,62,1,0,22,32,0.490909,0.509091,7,7
