gameId,gameDate,gameType,Team Home,Score Home,Score Away,Team Away,Shot Home EV,Miss Home EV,Block Home EV,Goal Home EV,CF EV,Shot Away EV,Miss Away EV,Block Away EV,Goal Away EV,CA EV,Shot Home 5v5,Miss Home 5v5,Block Home 5v5,Goal Home 5V5,CF 5v5,Shot Away 5v5,Miss Away 5v5,Block Away 5v5,Goal Away 5v5,CA 5v5,First Goal Home,First Goal Away,SOG Home,SOG Away,Faceoff Home,Faceoff Away,Pim Home,Pim Away
2019020001,2019-10-02,2,TOR,5.0,3.0,OTT,28,13,14,4,59,21,11,8,3,43,28,13,14,4,59,21,11,8,3,43,0,1,42,26,0.424658,0.575342,6,10
2019020002,2019-10-02,2,STL,2.0,3.0,WSH,16,6,5,1,28,26,9,7,2,44,16,6,5,1,28,23,9,7,1,40,1,0,22,34,0.508197,0.491803,6,4
2019020003,2019-10-02,2,EDM,3.0,2.0,VAN,16,5,11,3,35,24,16,17,2,59,16,5,11,3,35,24,16,17,2,59,1,0,22,33,0.489796,0.510204,8,4
2019020004,2019-10-02,2,VGK,4.0,1.0,S.J,24,14,10,2,50,15,8,10,1,34,21,14,7,2,44,15,8,9,1,33,1,0,35,22,0.528302,0.471698,10,8
2019020005,2019-10-03,2,T.B,5.0,2.0,FLA,18,5,15,4,42,28,7,10,1,46,17,5,12,4,38,28,7,10,1,46,1,0,30,37,0.610169,0.389831,8,6
2019020006,2019-10-03,2,NYR,6.0,4.0,WPG,22,6,10,4,42,32,13,13,3,61,22,6,10,4,42,32,13,13,3,61,1,0,32,47,0.466667,0.533333,10,4
2019020007,2019-10-03,2,PIT,1.0,3.0,BUF,21,9,14,0,44,30,5,17,2,54,21,9,14,0,44,30,5,17,2,54,0,1,29,41,0.492063,0.507937,4,10
2019020008,2019-10-03,2,CAR,4.0,3.0,MTL,36,15,13,3,67,32,14,11,2,59,33,14,11,2,60,26,12,11,2,51,1,0,43,36,0.508197,0.491803,6,6
2019020009,2019-10-03,2,NSH,5.0,2.0,MIN,20,17,15,5,57,21,8,10,1,40,20,17,15,5,57,21,8,10,1,40,1,0,32,24,0.576923,0.423077,6,4
2019020010,2019-10-03,2,DAL,1.0,2.0,BOS,21,9,13,1,44,16,9,14,1,40,21,9,13,1,44,16,8,13,1,38,0,1,29,20,0.526316,0.473684,8,4
2019020011,2019-10-03,2,COL,5.0,3.0,CGY,21,8,12,3,44,23,12,15,1,51,21,8,12,3,44,23,12,15,1,51,1,0,32,30,0.457143,0.542857,15,29
2019020012,2019-10-03,2,ANA,2.0,1.0,ARI,27,20,13,2,62,31,16,20,1,68,27,20,13,2,62,31,16,20,1,68,1,0,29,33,0.510204,0.489796,2,2
