id,season,Links,gameDate,gameType
2011020001,20112012,20001,2011-10-06,2
2011020010,20112012,20010,2011-10-08,2
2011020025,20112012,20025,2011-10-10,2
2011020036,20112012,20036,2011-10-12,2
2011020060,20112012,20060,2011-10-15,2
2011020069,20112012,20069,2011-10-18,2
2011020080,20112012,20080,2011-10-20,2
2011020097,20112012,20097,2011-10-22,2
2011020125,20112012,20125,2011-10-27,2
2011020143,20112012,20143,2011-10-29,2
2011020160,20112012,20160,2011-11-01,2
2011020184,20112012,20184,2011-11-05,2
2011020200,20112012,20200,2011-11-07,2
2011020214,20112012,20214,2011-11-10,2
2011020229,20112012,20229,2011-11-12,2
2011020247,20112012,20247,2011-11-15,2
2011020260,20112012,20260,2011-11-17,2
2011020279,20112012,20279,2011-11-19,2
2011020294,20112012,20294,2011-11-21,2
2011020300,20112012,20300,2011-11-23,2
2011020313,20112012,20313,2011-11-25,2
2011020329,20112012,20329,2011-11-26,2
2011020353,20112012,20353,2011-11-30,2
2011020373,20112012,20373,2011-12-03,2
2011020388,20112012,20388,2011-12-05,2
2011020397,20112012,20397,2011-12-06,2
2011020405,20112012,20405,2011-12-08,2
2011020427,20112012,20427,2011-12-10,2
2011020436,20112012,20436,2011-12-13,2
2011020448,20112012,20448,2011-12-14,2
2011020466,20112012,20466,2011-12-17,2
2011020481,20112012,20481,2011-12-19,2
2011020508,20112012,20508,2011-12-23,2
2011020540,20112012,20540,2011-12-28,2
2011020565,20112012,20565,2011-12-31,2
2011020581,20112012,20581,2012-01-04,2
2011020584,20112012,20584,2012-01-05,2
2011020598,20112012,20598,2012-01-07,2
2011020616,20112012,20616,2012-01-10,2
2011020631,20112012,20631,2012-01-12,2
2011020652,20112012,20652,2012-01-14,2
2011020667,20112012,20667,2012-01-16,2
2011020677,20112012,20677,2012-01-17,2
2011020686,20112012,20686,2012-01-19,2
2011020699,20112012,20699,2012-01-21,2
2011020713,20112012,20713,2012-01-22,2
2011020725,20112012,20725,2012-01-24,2
2011020736,20112012,20736,2012-01-31,2
2011020754,20112012,20754,2012-02-02,2
2011020767,20112012,20767,2012-02-04,2
2011020779,20112012,20779,2012-02-05,2
2011020797,20112012,20797,2012-02-08,2
2011020816,20112012,20816,2012-02-11,2
2011020837,20112012,20837,2012-02-14,2
2011020847,20112012,20847,2012-02-15,2
2011020863,20112012,20863,2012-02-17,2
2011020876,20112012,20876,2012-02-19,2
2011020897,20112012,20897,2012-02-22,2
2011020912,20112012,20912,2012-02-24,2
2011020919,20112012,20919,2012-02-25,2
2011020937,20112012,20937,2012-02-28,2
2011020950,20112012,20950,2012-03-01,2
2011020965,20112012,20965,2012-03-03,2
2011020975,20112012,20975,2012-03-04,2
2011020984,20112012,20984,2012-03-06,2
2011020998,20112012,20998,2012-03-08,2
2011021014,20112012,21014,2012-03-10,2
2011021032,20112012,21032,2012-03-11,2
2011021040,20112012,21040,2012-03-13,2
2011021057,20112012,21057,2012-03-15,2
2011021065,20112012,21065,2012-03-17,2
2011021082,20112012,21082,2012-03-19,2
2011021109,20112012,21109,2012-03-22,2
2011021117,20112012,21117,2012-03-24,2
2011021132,20112012,21132,2012-03-25,2
2011021140,20112012,21140,2012-03-27,2
2011021154,20112012,21154,2012-03-29,2
2011021169,20112012,21169,2012-03-31,2
2011021182,20112012,21182,2012-04-01,2
2011021189,20112012,21189,2012-04-03,2
2011021207,20112012,21207,2012-04-05,2
2011021216,20112012,21216,2012-04-07,2
2011030121,20112012,30121,2012-04-12,3
2011030122,20112012,30122,2012-04-14,3
2011030123,20112012,30123,2012-04-16,3
2011030124,20112012,30124,2012-04-19,3
2011030125,20112012,30125,2012-04-21,3
2011030126,20112012,30126,2012-04-22,3
2011030127,20112012,30127,2012-04-25,3
2011020009,20112012,20009,2011-10-07,2
2011020020,20112012,20020,2011-10-08,2
2011020051,20112012,20051,2011-10-15,2
2011020076,20112012,20076,2011-10-18,2
2011020087,20112012,20087,2011-10-20,2
2011020107,20112012,20107,2011-10-22,2
2011020112,20112012,20112,2011-10-24,2
2011020127,20112012,20127,2011-10-27,2
2011020140,20112012,20140,2011-10-29,2
2011020157,20112012,20157,2011-10-31,2
2011020169,20112012,20169,2011-11-03,2
2011020188,20112012,20188,2011-11-05,2
2011020197,20112012,20197,2011-11-06,2
2011020211,20112012,20211,2011-11-09,2
2011020223,20112012,20223,2011-11-11,2
2011020249,20112012,20249,2011-11-15,2
2011020278,20112012,20278,2011-11-19,2
2011020307,20112012,20307,2011-11-23,2
2011020317,20112012,20317,2011-11-25,2
2011020327,20112012,20327,2011-11-26,2
2011020346,20112012,20346,2011-11-29,2
2011020359,20112012,20359,2011-12-01,2
2011020377,20112012,20377,2011-12-03,2
2011020387,20112012,20387,2011-12-05,2
2011020408,20112012,20408,2011-12-08,2
2011020422,20112012,20422,2011-12-10,2
2011020433,20112012,20433,2011-12-11,2
2011020439,20112012,20439,2011-12-13,2
2011020456,20112012,20456,2011-12-15,2
2011020475,20112012,20475,2011-12-17,2
2011020487,20112012,20487,2011-12-20,2
2011020501,20112012,20501,2011-12-22,2
2011020511,20112012,20511,2011-12-23,2
2011020521,20112012,20521,2011-12-26,2
2011020537,20112012,20537,2011-12-28,2
2011020553,20112012,20553,2011-12-30,2
2011020569,20112012,20569,2012-01-02,2
2011020586,20112012,20586,2012-01-05,2
2011020594,20112012,20594,2012-01-06,2
2011020619,20112012,20619,2012-01-10,2
2011020633,20112012,20633,2012-01-12,2
2011020649,20112012,20649,2012-01-14,2
2011020660,20112012,20660,2012-01-15,2
2011020672,20112012,20672,2012-01-17,2
2011020687,20112012,20687,2012-01-19,2
2011020699,20112012,20699,2012-01-21,2
2011020724,20112012,20724,2012-01-24,2
2011020737,20112012,20737,2012-01-31,2
2011020749,20112012,20749,2012-02-01,2
2011020781,20112012,20781,2012-02-05,2
2011020786,20112012,20786,2012-02-07,2
2011020803,20112012,20803,2012-02-09,2
2011020819,20112012,20819,2012-02-11,2
2011020828,20112012,20828,2012-02-12,2
2011020837,20112012,20837,2012-02-14,2
2011020851,20112012,20851,2012-02-16,2
2011020879,20112012,20879,2012-02-19,2
2011020887,20112012,20887,2012-02-21,2
2011020909,20112012,20909,2012-02-24,2
2011020920,20112012,20920,2012-02-25,2
2011020932,20112012,20932,2012-02-27,2
2011020953,20112012,20953,2012-03-01,2
2011020961,20112012,20961,2012-03-02,2
2011020975,20112012,20975,2012-03-04,2
2011020985,20112012,20985,2012-03-06,2
2011021003,20112012,21003,2012-03-08,2
2011021012,20112012,21012,2012-03-09,2
2011021030,20112012,21030,2012-03-11,2
2011021038,20112012,21038,2012-03-13,2
2011021054,20112012,21054,2012-03-15,2
2011021070,20112012,21070,2012-03-17,2
2011021083,20112012,21083,2012-03-19,2
2011021099,20112012,21099,2012-03-21,2
2011021111,20112012,21111,2012-03-23,2
2011021119,20112012,21119,2012-03-24,2
2011021147,20112012,21147,2012-03-27,2
2011021148,20112012,21148,2012-03-28,2
2011021161,20112012,21161,2012-03-30,2
2011021182,20112012,21182,2012-04-01,2
2011021192,20112012,21192,2012-04-03,2
2011021204,20112012,21204,2012-04-05,2
2011021218,20112012,21218,2012-04-07,2
2011030111,20112012,30111,2012-04-12,3
2011030112,20112012,30112,2012-04-14,3
2011030113,20112012,30113,2012-04-16,3
2011030114,20112012,30114,2012-04-18,3
2011030115,20112012,30115,2012-04-21,3
2011030116,20112012,30116,2012-04-23,3
2011030117,20112012,30117,2012-04-26,3
2011030211,20112012,30211,2012-04-28,3
2011030212,20112012,30212,2012-04-30,3
2011030213,20112012,30213,2012-05-02,3
2011030214,20112012,30214,2012-05-05,3
2011030215,20112012,30215,2012-05-07,3
2011030216,20112012,30216,2012-05-09,3
2011030217,20112012,30217,2012-05-12,3
2011030311,20112012,30311,2012-05-14,3
