gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2010020001,2,2010-10-07,TOR,MTL,3,2,1,1,3,2,19,7,14,21,10,18,1,24,0.465116,6,0,28,0.534884,10,3
2010020001,2,2010-10-07,MTL,TOR,2,3,0,0,2,3,21,10,18,19,7,14,0,28,0.534884,10,1,24,0.465116,6,3
2010020002,2,2010-10-07,PHI,PIT,3,2,1,0,1,1,20,8,12,25,11,12,1,27,0.392857,12,0,31,0.607143,10,3
2010020002,2,2010-10-07,PIT,PHI,2,3,0,1,1,1,25,11,12,20,8,12,0,31,0.607143,10,1,27,0.392857,12,3
2010020003,2,2010-10-07,MIN,CAR,3,4,0,1,1,2,19,7,14,25,9,19,1,29,0.611765,10,0,31,0.388235,10,3
2010020003,2,2010-10-07,CAR,MIN,4,3,1,0,2,1,25,9,19,19,7,14,0,31,0.388235,10,1,29,0.611765,10,3
2010020004,2,2010-10-07,CHI,COL,3,4,0,0,1,3,26,3,8,31,6,9,1,38,0.466667,6,0,41,0.533333,14,3
2010020004,2,2010-10-07,COL,CHI,4,3,1,1,3,1,31,6,9,26,3,8,0,41,0.533333,14,1,38,0.466667,6,3
2010020005,2,2010-10-07,CGY,EDM,0,4,0,0,0,1,27,18,10,19,8,14,0,37,0.483333,32,1,33,0.516667,28,3
2010020005,2,2010-10-07,EDM,CGY,4,0,1,1,1,0,19,8,14,27,18,10,1,33,0.516667,28,0,37,0.483333,32,3
2010020006,2,2010-10-08,S.J,CBJ,3,2,1,0,1,1,8,3,10,14,8,16,1,28,0.428571,28,0,32,0.571429,26,4
2010020006,2,2010-10-08,CBJ,S.J,2,3,0,1,1,1,14,8,16,8,3,10,0,32,0.571429,26,1,28,0.428571,28,4
2010020007,2,2010-10-08,N.J,DAL,3,4,0,1,2,4,26,6,8,23,11,8,1,30,0.384615,6,0,28,0.615385,6,4
2010020007,2,2010-10-08,DAL,N.J,4,3,1,0,4,2,23,11,8,26,6,8,0,28,0.615385,6,1,30,0.384615,6,4
2010020008,2,2010-10-08,CAR,MIN,2,1,1,1,1,0,29,5,13,33,13,10,0,37,0.328358,19,1,42,0.671642,19,4
2010020008,2,2010-10-08,MIN,CAR,1,2,0,0,0,1,33,13,10,29,5,13,1,42,0.671642,19,0,37,0.328358,19,4
2010020009,2,2010-10-08,ANA,DET,0,4,0,0,0,4,19,14,7,23,8,15,0,21,0.351852,46,1,43,0.648148,26,4
2010020009,2,2010-10-08,DET,ANA,4,0,1,1,4,0,23,8,15,19,14,7,1,43,0.648148,26,0,21,0.351852,46,4
2010020010,2,2010-10-08,OTT,BUF,1,2,0,1,1,1,17,10,14,23,5,6,0,26,0.566038,12,1,36,0.433962,12,4
2010020010,2,2010-10-08,BUF,OTT,2,1,1,0,1,1,23,5,6,17,10,14,1,36,0.433962,12,0,26,0.566038,12,4
2010020011,2,2010-10-08,WSH,ATL,2,4,0,0,2,4,23,11,18,23,1,8,1,31,0.464286,10,0,31,0.535714,10,4
2010020011,2,2010-10-08,ATL,WSH,4,2,1,1,4,2,23,1,8,23,11,18,0,31,0.535714,10,1,31,0.464286,10,4
2010020012,2,2010-10-09,BOS,PHX,2,5,0,1,1,4,34,15,13,24,8,11,0,42,0.445946,9,1,37,0.554054,13,5
2010020012,2,2010-10-09,PHX,BOS,5,2,1,0,4,1,24,8,11,34,15,13,1,37,0.554054,13,0,42,0.445946,9,5
2010020013,2,2010-10-09,NYR,BUF,6,3,1,0,5,2,18,11,17,29,11,15,1,28,0.454545,10,0,36,0.545455,18,5
2010020013,2,2010-10-09,BUF,NYR,3,6,0,1,2,5,29,11,15,18,11,17,0,36,0.545455,18,1,28,0.454545,10,5
2010020014,2,2010-10-09,TOR,OTT,5,1,1,1,4,1,20,6,8,16,7,12,1,38,0.5,33,0,18,0.5,25,5
2010020014,2,2010-10-09,OTT,TOR,1,5,0,0,1,4,16,7,12,20,6,8,0,18,0.5,25,1,38,0.5,33,5
2010020015,2,2010-10-09,NYI,DAL,4,5,0,1,1,4,29,16,9,11,8,11,0,47,0.574074,14,1,22,0.425926,16,5
2010020015,2,2010-10-09,DAL,NYI,5,4,1,0,4,1,11,8,11,29,16,9,1,22,0.425926,16,0,47,0.574074,14,5
2010020016,2,2010-10-09,MTL,PIT,3,2,1,0,3,1,17,8,5,30,9,10,1,27,0.528302,17,0,38,0.471698,15,5
