gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2013020001,2,2013-10-01,MTL,TOR,3,4,0,1,2,2,28,15,14,18,7,13,0,37,0.472727,53,1,38,0.527273,47,1
2013020001,2,2013-10-01,TOR,MTL,4,3,1,0,2,2,18,7,13,28,15,14,1,38,0.527273,47,0,37,0.472727,53,1
2013020002,2,2013-10-01,CHI,WSH,6,4,1,1,5,1,21,5,12,17,5,13,1,34,0.516667,12,0,32,0.483333,8,1
2013020002,2,2013-10-01,WSH,CHI,4,6,0,0,1,5,17,5,13,21,5,12,0,32,0.483333,8,1,34,0.516667,12,1
2013020003,2,2013-10-01,WPG,EDM,5,4,1,0,4,2,18,11,9,22,7,18,0,28,0.453333,17,1,38,0.546667,15,1
2013020003,2,2013-10-01,EDM,WPG,4,5,0,1,2,4,22,7,18,18,11,9,1,38,0.546667,15,0,28,0.453333,17,1
2013020004,2,2013-10-02,PHI,TOR,1,3,0,1,0,2,19,12,15,19,5,7,1,32,0.478261,11,0,25,0.521739,21,2
2013020004,2,2013-10-02,TOR,PHI,3,1,1,0,2,0,19,5,7,19,12,15,0,25,0.521739,21,1,32,0.478261,11,2
2013020005,2,2013-10-02,DET,BUF,2,1,1,1,2,1,25,9,7,12,3,6,1,34,0.603448,14,0,20,0.396552,6,2
2013020005,2,2013-10-02,BUF,DET,1,2,0,0,1,2,12,3,6,25,9,7,0,20,0.396552,6,1,34,0.603448,14,2
2013020006,2,2013-10-02,COL,ANA,6,1,1,1,4,1,19,11,8,32,9,11,1,29,0.421875,20,0,36,0.578125,24,2
2013020006,2,2013-10-02,ANA,COL,1,6,0,0,1,4,32,9,11,19,11,8,0,36,0.578125,24,1,29,0.421875,20,2
2013020007,2,2013-10-03,BOS,T.B,3,1,1,1,1,1,19,11,16,27,6,9,1,25,0.541667,20,0,33,0.458333,16,3
2013020007,2,2013-10-03,T.B,BOS,1,3,0,0,1,1,27,6,9,19,11,16,0,33,0.458333,16,1,25,0.541667,20,3
2013020008,2,2013-10-03,N.J,PIT,0,3,0,0,0,3,27,8,20,18,5,9,0,27,0.407407,7,1,21,0.592593,9,3
2013020008,2,2013-10-03,PIT,N.J,3,0,1,1,3,0,18,5,9,27,8,20,1,21,0.592593,9,0,27,0.407407,7,3
