id,season,Links,gameDate,gameType
2009020001,20092010,20001,2009-10-01,2
2009020010,20092010,20010,2009-10-03,2
2009020035,20092010,20035,2009-10-08,2
2009020049,20092010,20049,2009-10-10,2
2009020064,20092010,20064,2009-10-12,2
2009020090,20092010,20090,2009-10-16,2
2009020103,20092010,20103,2009-10-17,2
2009020112,20092010,20112,2009-10-21,2
2009020120,20092010,20120,2009-10-22,2
2009020131,20092010,20131,2009-10-24,2
2009020165,20092010,20165,2009-10-29,2
2009020180,20092010,20180,2009-10-31,2
2009020191,20092010,20191,2009-11-01,2
2009020198,20092010,20198,2009-11-03,2
2009020209,20092010,20209,2009-11-05,2
2009020226,20092010,20226,2009-11-07,2
2009020241,20092010,20241,2009-11-10,2
2009020253,20092010,20253,2009-11-12,2
2009020274,20092010,20274,2009-11-14,2
2009020283,20092010,20283,2009-11-16,2
2009020300,20092010,20300,2009-11-19,2
2009020308,20092010,20308,2009-11-20,2
2009020333,20092010,20333,2009-11-23,2
2009020346,20092010,20346,2009-11-25,2
2009020355,20092010,20355,2009-11-27,2
2009020368,20092010,20368,2009-11-28,2
2009020394,20092010,20394,2009-12-02,2
2009020410,20092010,20410,2009-12-04,2
2009020416,20092010,20416,2009-12-05,2
2009020452,20092010,20452,2009-12-10,2
2009020469,20092010,20469,2009-12-12,2
2009020480,20092010,20480,2009-12-14,2
2009020515,20092010,20515,2009-12-18,2
2009020521,20092010,20521,2009-12-19,2
2009020536,20092010,20536,2009-12-21,2
2009020545,20092010,20545,2009-12-23,2
2009020571,20092010,20571,2009-12-27,2
2009020580,20092010,20580,2009-12-28,2
2009020590,20092010,20590,2009-12-30,2
2009020609,20092010,20609,2010-01-01,2
2009020627,20092010,20627,2010-01-04,2
2009020632,20092010,20632,2010-01-05,2
2009020645,20092010,20645,2010-01-07,2
2009020660,20092010,20660,2010-01-09,2
2009020692,20092010,20692,2010-01-13,2
2009020704,20092010,20704,2010-01-14,2
2009020710,20092010,20710,2010-01-16,2
2009020723,20092010,20723,2010-01-18,2
2009020744,20092010,20744,2010-01-21,2
2009020760,20092010,20760,2010-01-23,2
2009020773,20092010,20773,2010-01-24,2
2009020803,20092010,20803,2010-01-29,2
2009020808,20092010,20808,2010-01-30,2
2009020827,20092010,20827,2010-02-02,2
2009020841,20092010,20841,2010-02-04,2
2009020855,20092010,20855,2010-02-06,2
2009020869,20092010,20869,2010-02-07,2
2009020876,20092010,20876,2010-02-09,2
2009020893,20092010,20893,2010-02-11,2
2009020909,20092010,20909,2010-02-13,2
2009020923,20092010,20923,2010-03-02,2
2009020941,20092010,20941,2010-03-04,2
2009020956,20092010,20956,2010-03-06,2
2009020965,20092010,20965,2010-03-07,2
2009020976,20092010,20976,2010-03-09,2
2009020992,20092010,20992,2010-03-11,2
2009021008,20092010,21008,2010-03-13,2
2009021025,20092010,21025,2010-03-15,2
2009021029,20092010,21029,2010-03-16,2
2009021042,20092010,21042,2010-03-18,2
2009021068,20092010,21068,2010-03-21,2
2009021082,20092010,21082,2010-03-23,2
2009021096,20092010,21096,2010-03-25,2
2009021110,20092010,21110,2010-03-27,2
2009021128,20092010,21128,2010-03-29,2
2009021134,20092010,21134,2010-03-30,2
2009021149,20092010,21149,2010-04-01,2
2009021167,20092010,21167,2010-04-03,2
2009021179,20092010,21179,2010-04-05,2
2009021198,20092010,21198,2010-04-08,2
2009021212,20092010,21212,2010-04-10,2
2009021224,20092010,21224,2010-04-11,2
2009030131,20092010,30131,2010-04-15,3
2009030132,20092010,30132,2010-04-17,3
2009030133,20092010,30133,2010-04-19,3
2009030134,20092010,30134,2010-04-21,3
2009030135,20092010,30135,2010-04-23,3
2009030136,20092010,30136,2010-04-26,3
2009030221,20092010,30221,2010-05-01,3
2009030222,20092010,30222,2010-05-03,3
2009030223,20092010,30223,2010-05-05,3
2009030224,20092010,30224,2010-05-07,3
2009030225,20092010,30225,2010-05-10,3
2009030226,20092010,30226,2010-05-12,3
2009030227,20092010,30227,2010-05-14,3
2009020006,20092010,20006,2009-10-02,2
2009020014,20092010,20014,2009-10-03,2
2009020024,20092010,20024,2009-10-05,2
2009020039,20092010,20039,2009-10-08,2
2009020062,20092010,20062,2009-10-11,2
2009020066,20092010,20066,2009-10-12,2
2009020076,20092010,20076,2009-10-14,2
2009020094,20092010,20094,2009-10-17,2
2009020106,20092010,20106,2009-10-19,2
2009020119,20092010,20119,2009-10-22,2
2009020130,20092010,20130,2009-10-24,2
2009020148,20092010,20148,2009-10-26,2
2009020156,20092010,20156,2009-10-28,2
2009020175,20092010,20175,2009-10-30,2
2009020191,20092010,20191,2009-11-01,2
2009020201,20092010,20201,2009-11-03,2
2009020216,20092010,20216,2009-11-05,2
2009020235,20092010,20235,2009-11-07,2
2009020254,20092010,20254,2009-11-12,2
2009020269,20092010,20269,2009-11-14,2
2009020289,20092010,20289,2009-11-17,2
2009020317,20092010,20317,2009-11-21,2
2009020330,20092010,20330,2009-11-23,2
2009020344,20092010,20344,2009-11-25,2
2009020361,20092010,20361,2009-11-27,2
2009020373,20092010,20373,2009-11-28,2
2009020383,20092010,20383,2009-11-30,2
2009020417,20092010,20417,2009-12-05,2
2009020427,20092010,20427,2009-12-06,2
2009020448,20092010,20448,2009-12-09,2
2009020470,20092010,20470,2009-12-12,2
2009020483,20092010,20483,2009-12-14,2
2009020495,20092010,20495,2009-12-16,2
2009020503,20092010,20503,2009-12-17,2
2009020517,20092010,20517,2009-12-19,2
