gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2014020001,2,2014-10-08,TOR,MTL,3,4,0,1,2,4,20,9,14,25,14,10,0,27,0.412698,4,1,32,0.587302,6,2
2014020001,2,2014-10-08,MTL,TOR,4,3,1,0,4,2,25,14,10,20,9,14,1,32,0.587302,6,0,27,0.412698,4,2
2014020002,2,2014-10-08,PHI,BOS,1,2,0,0,1,1,13,7,13,27,9,14,0,20,0.409836,11,1,33,0.590164,15,2
2014020002,2,2014-10-08,BOS,PHI,2,1,1,1,1,1,27,9,14,13,7,13,1,33,0.590164,15,0,20,0.409836,11,2
2014020003,2,2014-10-08,CGY,VAN,2,4,0,1,2,3,20,7,11,25,4,11,0,25,0.614286,10,1,33,0.385714,12,2
2014020003,2,2014-10-08,VAN,CGY,4,2,1,0,3,2,25,4,11,20,7,11,1,33,0.385714,12,0,25,0.614286,10,2
2014020004,2,2014-10-08,S.J,L.A,4,0,1,0,3,0,20,11,11,25,18,13,1,30,0.591549,15,0,34,0.408451,13,2
2014020004,2,2014-10-08,L.A,S.J,0,4,0,1,0,3,25,18,13,20,11,11,0,34,0.408451,13,1,30,0.591549,15,2
2014020005,2,2014-10-09,CBJ,BUF,3,1,1,0,2,1,32,8,16,18,11,5,1,40,0.491228,4,0,22,0.508772,10,3
2014020005,2,2014-10-09,BUF,CBJ,1,3,0,1,1,2,18,11,5,32,8,16,0,22,0.508772,10,1,40,0.491228,4,3
2014020006,2,2014-10-09,PHI,N.J,4,6,0,1,2,6,30,13,9,17,12,12,0,39,0.571429,6,1,26,0.428571,10,3
2014020006,2,2014-10-09,N.J,PHI,6,4,1,0,6,2,17,12,12,30,13,9,1,26,0.428571,10,0,39,0.571429,6,3
2014020007,2,2014-10-09,ANA,PIT,4,6,0,0,1,4,20,6,8,29,5,9,0,29,0.472222,13,1,39,0.527778,17,3
2014020007,2,2014-10-09,PIT,ANA,6,4,1,1,4,1,29,5,9,20,6,8,1,39,0.527778,17,0,29,0.472222,13,3
2014020008,2,2014-10-09,MTL,WSH,2,1,1,0,4,3,19,2,10,26,14,17,0,24,0.534247,19,1,30,0.465753,19,3
2014020008,2,2014-10-09,WSH,MTL,1,2,0,1,3,4,26,14,17,19,2,10,1,30,0.465753,19,0,24,0.534247,19,3
2014020009,2,2014-10-09,BOS,DET,1,2,0,0,1,1,10,1,4,20,7,12,1,17,0.446429,10,0,24,0.553571,10,3
2014020009,2,2014-10-09,DET,BOS,2,1,1,1,1,1,20,7,12,10,1,4,0,24,0.553571,10,1,17,0.446429,10,3
2014020010,2,2014-10-09,T.B,FLA,3,2,1,1,0,2,21,10,11,17,5,8,0,32,0.537313,10,1,21,0.462687,20,3
2014020010,2,2014-10-09,FLA,T.B,2,3,0,0,2,0,17,5,8,21,10,11,1,21,0.462687,20,0,32,0.537313,10,3
2014020011,2,2014-10-09,STL,NYR,2,3,0,1,2,3,19,9,15,20,4,12,0,25,0.553571,15,1,25,0.446429,19,3
2014020011,2,2014-10-09,NYR,STL,3,2,1,0,3,2,20,4,12,19,9,15,1,25,0.446429,19,0,25,0.553571,15,3
2014020012,2,2014-10-09,NSH,OTT,3,2,1,1,2,1,30,13,8,16,9,6,0,37,0.5625,10,1,20,0.4375,8,3
2014020012,2,2014-10-09,OTT,NSH,2,3,0,0,1,2,16,9,6,30,13,8,1,20,0.4375,8,0,37,0.5625,10,3
2014020013,2,2014-10-09,DAL,CHI,2,3,0,1,1,2,25,16,12,18,13,17,0,34,0.545455,12,1,26,0.454545,14,3
2014020013,2,2014-10-09,CHI,DAL,3,2,1,0,2,1,18,13,17,25,16,12,1,26,0.454545,14,0,34,0.545455,12,3
2014020014,2,2014-10-09,MIN,COL,5,0,1,1,5,0,40,19,7,16,5,5,1,48,0.581818,12,0,16,0.418182,8,3
2014020014,2,2014-10-09,COL,MIN,0,5,0,0,0,5,16,5,5,40,19,7,0,16,0.418182,8,1,48,0.581818,12,3
2014020015,2,2014-10-09,EDM,CGY,2,5,0,1,0,4,35,15,18,18,6,6,0,40,0.590909,4,1,26,0.409091,6,3
2014020015,2,2014-10-09,CGY,EDM,5,2,1,0,4,0,18,6,6,35,15,18,1,26,0.409091,6,0,40,0.590909,4,3
2014020016,2,2014-10-09,WPG,ARI,6,2,1,0,5,2,9,5,5,21,11,12,1,27,0.4,17,0,28,0.6,21,3
2014020016,2,2014-10-09,ARI,WPG,2,6,0,1,2,5,21,11,12,9,5,5,0,28,0.6,21,1,27,0.4,17,3
2014020017,2,2014-10-10,NYI,CAR,5,3,1,0,3,1,18,12,12,14,14,11,1,26,0.440678,10,0,24,0.559322,6,4
2014020017,2,2014-10-10,CAR,NYI,3,5,0,1,1,3,14,14,11,18,12,12,0,24,0.559322,6,1,26,0.440678,10,4
2014020018,2,2014-10-11,WSH,BOS,4,0,1,0,2,0,13,4,7,23,11,9,1,21,0.358491,15,0,29,0.641509,25,5
2014020018,2,2014-10-11,BOS,WSH,0,4,0,1,0,2,23,11,9,13,4,7,0,29,0.641509,25,1,21,0.358491,15,5
2014020019,2,2014-10-11,TOR,PIT,2,5,0,1,0,2,16,8,8,28,10,15,0,25,0.507246,17,1,41,0.492754,17,5
2014020019,2,2014-10-11,PIT,TOR,5,2,1,0,2,0,28,10,15,16,8,8,1,41,0.492754,17,0,25,0.507246,17,5
2014020020,2,2014-10-11,ANA,DET,3,2,1,0,3,2,20,3,11,21,4,15,1,26,0.54902,6,0,29,0.45098,8,5
2014020020,2,2014-10-11,DET,ANA,2,3,0,1,2,3,21,4,15,20,3,11,0,29,0.45098,8,1,26,0.54902,6,5
2014020021,2,2014-10-11,OTT,T.B,3,2,1,0,4,2,25,9,11,33,11,8,0,34,0.47541,8,1,40,0.52459,8,5
2014020021,2,2014-10-11,T.B,OTT,2,3,0,1,2,4,33,11,8,25,9,11,1,40,0.52459,8,0,34,0.47541,8,5
2014020022,2,2014-10-11,N.J,FLA,5,1,1,0,3,0,11,3,5,20,7,4,1,24,0.480769,23,0,29,0.519231,17,5
2014020022,2,2014-10-11,FLA,N.J,1,5,0,1,0,3,20,7,4,11,3,5,0,29,0.519231,17,1,24,0.480769,23,5
2014020023,2,2014-10-11,NYI,CAR,4,3,1,1,2,1,22,12,9,15,5,10,1,31,0.553571,17,0,24,0.446429,29,5
2014020023,2,2014-10-11,CAR,NYI,3,4,0,0,1,2,15,5,10,22,12,9,0,24,0.446429,29,1,31,0.553571,17,5
2014020024,2,2014-10-11,MTL,PHI,4,3,1,0,4,2,35,18,30,21,7,18,0,38,0.509434,12,1,32,0.490566,8,5
2014020024,2,2014-10-11,PHI,MTL,3,4,0,1,2,4,21,7,18,35,18,30,1,32,0.490566,8,0,38,0.509434,12,5
2014020025,2,2014-10-11,CBJ,NYR,5,2,1,1,5,2,17,11,8,19,6,10,1,24,0.508197,13,0,26,0.491803,25,5
2014020025,2,2014-10-11,NYR,CBJ,2,5,0,0,2,5,19,6,10,17,11,8,0,26,0.491803,25,1,24,0.508197,13,5
2014020026,2,2014-10-11,STL,CGY,4,1,1,1,2,0,28,11,12,21,8,9,1,39,0.55,21,0,24,0.45,19,5
2014020026,2,2014-10-11,CGY,STL,1,4,0,0,0,2,21,8,9,28,11,12,0,24,0.45,19,1,39,0.55,21,5
2014020027,2,2014-10-11,NSH,DAL,4,1,1,1,4,1,23,8,14,15,12,12,0,33,0.5,9,1,18,0.5,23,5
2014020027,2,2014-10-11,DAL,NSH,1,4,0,0,1,4,15,12,12,23,8,14,1,18,0.5,23,0,33,0.5,9,5
2014020028,2,2014-10-11,BUF,CHI,2,6,0,0,1,4,18,1,5,35,11,12,0,23,0.416667,8,1,47,0.583333,8,5
2014020028,2,2014-10-11,CHI,BUF,6,2,1,1,4,1,35,11,12,18,1,5,1,47,0.583333,8,0,23,0.416667,8,5
2014020029,2,2014-10-11,COL,MIN,0,3,0,1,0,3,25,11,17,17,4,11,0,30,0.53125,27,1,34,0.46875,12,5
2014020029,2,2014-10-11,MIN,COL,3,0,1,0,3,0,17,4,11,25,11,17,1,34,0.46875,12,0,30,0.53125,27,5
2014020030,2,2014-10-11,L.A,ARI,2,3,0,0,2,1,21,12,21,31,13,7,1,26,0.542857,14,0,40,0.457143,12,5
2014020030,2,2014-10-11,ARI,L.A,3,2,1,1,1,2,31,13,7,21,12,21,0,40,0.457143,12,1,26,0.542857,14,5
2014020031,2,2014-10-11,EDM,VAN,4,5,0,0,2,3,23,7,8,31,14,7,1,29,0.453333,19,0,43,0.546667,11,5
2014020031,2,2014-10-11,VAN,EDM,5,4,1,1,3,2,31,14,7,23,7,8,0,43,0.546667,11,1,29,0.453333,19,5
2014020032,2,2014-10-11,WPG,S.J,0,3,0,0,0,3,20,9,13,16,10,7,0,30,0.491525,28,1,26,0.508475,6,5
2014020032,2,2014-10-11,S.J,WPG,3,0,1,1,3,0,16,10,7,20,9,13,1,26,0.508475,6,0,30,0.491525,28,5
2014020033,2,2014-10-12,NYR,TOR,3,6,0,1,3,3,30,11,10,24,8,10,0,38,0.439394,8,1,36,0.560606,4,6
2014020033,2,2014-10-12,TOR,NYR,6,3,1,0,3,3,24,8,10,30,11,10,1,36,0.560606,4,0,38,0.439394,8,6
2014020034,2,2014-10-12,WPG,L.A,1,4,0,0,1,4,24,11,4,24,11,8,0,30,0.552239,30,1,31,0.447761,18,6
2014020034,2,2014-10-12,L.A,WPG,4,1,1,1,4,1,24,11,8,24,11,4,1,31,0.447761,18,0,30,0.552239,30,6
2014020035,2,2014-10-13,COL,BOS,2,1,1,0,2,0,24,4,8,25,10,10,1,30,0.47541,11,0,28,0.52459,11,0
2014020035,2,2014-10-13,BOS,COL,1,2,0,1,0,2,25,10,10,24,4,8,0,28,0.52459,11,1,30,0.47541,11,0
2014020036,2,2014-10-13,ANA,BUF,5,1,1,0,4,1,30,13,9,8,6,14,1,44,0.681818,13,0,12,0.318182,19,0
2014020036,2,2014-10-13,BUF,ANA,1,5,0,1,1,4,8,6,14,30,13,9,0,12,0.318182,19,1,44,0.681818,13,0
2014020037,2,2014-10-13,FLA,OTT,0,1,0,1,0,0,25,11,11,18,9,6,0,30,0.470588,12,1,23,0.529412,8,0
2014020037,2,2014-10-13,OTT,FLA,1,0,1,0,0,0,18,9,6,25,11,11,1,23,0.529412,8,0,30,0.470588,12,0
2014020038,2,2014-10-14,NYR,NYI,3,6,0,1,3,5,31,9,18,18,12,8,1,43,0.52459,8,0,27,0.47541,8,1
2014020038,2,2014-10-14,NYI,NYR,6,3,1,0,5,3,18,12,8,31,9,18,0,27,0.47541,8,1,43,0.52459,8,1
2014020039,2,2014-10-14,PHI,ANA,3,4,0,1,2,5,29,13,23,22,5,9,0,42,0.5,4,1,28,0.5,8,1
2014020039,2,2014-10-14,ANA,PHI,4,3,1,0,5,2,22,5,9,29,13,23,1,28,0.5,8,0,42,0.5,4,1
2014020040,2,2014-10-14,S.J,WSH,6,5,1,0,5,3,13,7,17,24,14,20,1,23,0.507692,8,0,34,0.492308,6,1
2014020040,2,2014-10-14,WSH,S.J,5,6,0,1,3,5,24,14,20,13,7,17,0,34,0.492308,6,1,23,0.507692,8,1
2014020041,2,2014-10-14,BUF,CAR,4,3,1,0,5,4,18,6,8,21,27,15,1,26,0.316667,6,0,25,0.683333,4,1
2014020041,2,2014-10-14,CAR,BUF,3,4,0,1,4,5,21,27,15,18,6,8,0,25,0.683333,4,1,26,0.316667,6,1
2014020042,2,2014-10-14,CBJ,DAL,2,4,0,1,1,4,27,8,9,31,11,13,0,35,0.567568,7,1,35,0.432432,13,1
2014020042,2,2014-10-14,DAL,CBJ,4,2,1,0,4,1,31,11,13,27,8,9,1,35,0.432432,13,0,35,0.567568,7,1
2014020043,2,2014-10-14,TOR,COL,3,2,1,1,3,2,25,10,11,20,7,11,1,40,0.583333,8,0,24,0.416667,12,1
2014020043,2,2014-10-14,COL,TOR,2,3,0,0,2,3,20,7,11,25,10,11,0,24,0.416667,12,1,40,0.583333,8,1
2014020044,2,2014-10-14,T.B,N.J,1,2,0,1,1,1,20,6,10,17,9,6,0,27,0.48,8,1,25,0.52,8,1
2014020044,2,2014-10-14,N.J,T.B,2,1,1,0,1,1,17,9,6,20,6,10,1,25,0.52,8,0,27,0.48,8,1
2014020045,2,2014-10-14,CGY,NSH,3,2,1,0,2,2,24,10,21,20,10,13,0,28,0.573171,6,1,21,0.426829,8,1
2014020045,2,2014-10-14,NSH,CGY,2,3,0,1,2,2,20,10,13,24,10,21,1,21,0.426829,8,0,28,0.573171,6,1
2014020046,2,2014-10-14,L.A,EDM,6,1,1,1,4,1,16,12,6,27,8,9,1,26,0.568966,11,0,32,0.431034,11,1
2014020046,2,2014-10-14,EDM,L.A,1,6,0,0,1,4,27,8,9,16,12,6,0,32,0.431034,11,1,26,0.568966,11,1
2014020047,2,2014-10-15,DET,BOS,2,3,0,1,1,2,14,6,8,31,9,11,0,20,0.47541,6,1,39,0.52459,10,2
2014020047,2,2014-10-15,BOS,DET,3,2,1,0,2,1,31,9,11,14,6,8,1,39,0.52459,10,0,20,0.47541,6,2
2014020048,2,2014-10-15,CHI,CGY,1,2,0,1,0,2,42,9,27,14,4,11,0,50,0.564516,2,1,18,0.435484,14,2
2014020048,2,2014-10-15,CGY,CHI,2,1,1,0,2,0,14,4,11,42,9,27,1,18,0.435484,14,0,50,0.564516,2,2
2014020049,2,2014-10-15,ARI,EDM,7,4,1,1,6,4,18,8,9,16,10,15,0,30,0.529412,11,1,27,0.470588,15,2
2014020049,2,2014-10-15,EDM,ARI,4,7,0,0,4,6,16,10,15,18,8,9,1,27,0.470588,15,0,30,0.529412,11,2
2014020050,2,2014-10-16,NYI,S.J,4,3,1,1,4,3,38,19,15,23,13,24,0,45,0.479452,2,1,23,0.520548,4,3
2014020050,2,2014-10-16,S.J,NYI,3,4,0,0,3,4,23,13,24,38,19,15,1,23,0.520548,4,0,45,0.479452,2,3
2014020051,2,2014-10-16,PIT,DAL,2,3,0,1,0,2,20,12,16,23,8,14,1,29,0.533333,8,0,28,0.466667,8,3
2014020051,2,2014-10-16,DAL,PIT,3,2,1,0,2,0,23,8,14,20,12,16,0,28,0.466667,8,1,29,0.533333,8,3
2014020052,2,2014-10-16,N.J,WSH,2,6,0,0,2,5,20,9,14,17,4,9,0,28,0.536232,10,1,33,0.463768,6,3
2014020052,2,2014-10-16,WSH,N.J,6,2,1,1,5,2,17,4,9,20,9,14,1,33,0.463768,6,0,28,0.536232,10,3
2014020053,2,2014-10-16,MTL,BOS,6,4,1,1,4,3,16,6,14,17,8,17,0,26,0.557143,8,1,29,0.442857,18,3
2014020053,2,2014-10-16,BOS,MTL,4,6,0,0,3,4,17,8,17,16,6,14,1,29,0.442857,18,0,26,0.557143,8,3
2014020054,2,2014-10-16,OTT,COL,5,3,1,1,4,1,16,7,12,21,5,9,0,28,0.553846,17,1,31,0.446154,21,3
2014020054,2,2014-10-16,COL,OTT,3,5,0,0,1,4,21,5,9,16,7,12,1,31,0.446154,21,0,28,0.553846,17,3
2014020055,2,2014-10-16,STL,L.A,0,1,0,0,0,1,36,10,14,15,15,8,0,43,0.554054,10,0,18,0.445946,10,3
2014020055,2,2014-10-16,L.A,STL,1,0,1,1,1,0,15,15,8,36,10,14,0,18,0.445946,10,0,43,0.554054,10,3
2014020056,2,2014-10-17,FLA,BUF,1,0,1,0,1,0,30,9,14,18,9,6,1,35,0.526316,12,0,26,0.473684,12,4
2014020056,2,2014-10-17,BUF,FLA,0,1,0,1,0,1,18,9,6,30,9,14,0,26,0.473684,12,1,35,0.526316,12,4
2014020057,2,2014-10-16,NYR,CAR,2,1,1,1,2,1,30,7,18,24,8,7,0,34,0.343284,8,1,30,0.656716,12,3
2014020057,2,2014-10-16,CAR,NYR,1,2,0,0,1,2,24,8,7,30,7,18,1,30,0.656716,12,0,34,0.343284,8,3
2014020058,2,2014-10-17,CBJ,CGY,3,2,1,1,2,2,17,9,10,17,7,11,1,26,0.632353,13,0,31,0.367647,15,4
2014020058,2,2014-10-17,CGY,CBJ,2,3,0,0,2,2,17,7,11,17,9,10,0,31,0.367647,15,1,26,0.632353,13,4
2014020059,2,2014-10-17,TOR,DET,1,4,0,1,1,4,17,14,8,26,9,14,0,24,0.413793,12,1,35,0.586207,6,4
2014020059,2,2014-10-17,DET,TOR,4,1,1,0,4,1,26,9,14,17,14,8,1,35,0.586207,6,0,24,0.413793,12,4
2014020060,2,2014-10-17,NSH,WPG,2,0,1,0,2,0,19,10,11,22,5,11,1,27,0.509434,10,0,31,0.490566,12,4
2014020060,2,2014-10-17,WPG,NSH,0,2,0,1,0,2,22,5,11,19,10,11,0,31,0.490566,12,1,27,0.509434,10,4
