gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2017020001,2,2017-10-04,WPG,TOR,2,7,0,1,2,5,16,6,14,12,7,13,0,37,0.444444,8,1,31,0.555556,16,2
2017020001,2,2017-10-04,TOR,WPG,7,2,1,0,5,2,12,7,13,16,6,14,1,31,0.555556,16,0,37,0.444444,8,2
2017020002,2,2017-10-04,PIT,STL,4,5,0,1,3,4,27,16,15,25,11,10,1,33,0.588235,8,0,34,0.411765,10,2
2017020002,2,2017-10-04,STL,PIT,5,4,1,0,4,3,25,11,10,27,16,15,0,34,0.411765,10,1,33,0.588235,8,2
2017020003,2,2017-10-04,EDM,CGY,3,0,1,1,3,0,39,17,14,25,13,16,1,45,0.539683,7,0,27,0.460317,9,2
2017020003,2,2017-10-04,CGY,EDM,0,3,0,0,0,3,25,13,16,39,17,14,0,27,0.460317,9,1,45,0.539683,7,2
2017020004,2,2017-10-04,PHI,S.J,5,3,1,0,2,1,19,11,14,24,12,11,1,31,0.517241,12,0,35,0.482759,10,2
2017020004,2,2017-10-04,S.J,PHI,3,5,0,1,1,2,24,12,11,19,11,14,0,35,0.482759,10,1,31,0.517241,12,2
2017020005,2,2017-10-05,NSH,BOS,3,4,0,0,1,2,15,6,3,18,11,6,0,29,0.432432,15,1,32,0.567568,19,3
2017020005,2,2017-10-05,BOS,NSH,4,3,1,1,2,1,18,11,6,15,6,3,1,32,0.567568,19,0,29,0.432432,15,3
2017020006,2,2017-10-05,BUF,MTL,2,3,0,1,1,2,36,8,4,28,6,10,1,45,0.5,8,0,40,0.5,10,3
2017020006,2,2017-10-05,MTL,BUF,3,2,1,0,2,1,28,6,10,36,8,4,0,40,0.5,10,1,45,0.5,8,3
2017020007,2,2017-10-05,COL,NYR,4,2,1,0,3,0,16,7,8,20,10,12,1,26,0.363636,16,0,39,0.636364,12,3
2017020007,2,2017-10-05,NYR,COL,2,4,0,1,0,3,20,10,12,16,7,8,0,39,0.636364,12,1,26,0.363636,16,3
2017020008,2,2017-10-05,OTT,WSH,4,5,0,1,5,6,20,9,11,19,14,18,1,32,0.465517,2,0,28,0.534483,10,3
2017020008,2,2017-10-05,WSH,OTT,5,4,1,0,6,5,19,14,18,20,9,11,0,28,0.534483,10,1,32,0.465517,2,3
2017020009,2,2017-10-05,MIN,DET,2,4,0,0,2,2,29,6,10,21,10,6,0,39,0.54386,10,1,31,0.45614,8,3
2017020009,2,2017-10-05,DET,MIN,4,2,1,1,2,2,21,10,6,29,6,10,1,31,0.45614,8,0,39,0.54386,10,3
2017020010,2,2017-10-05,PIT,CHI,1,10,0,0,0,10,24,7,12,30,5,20,0,29,0.450704,32,1,44,0.549296,4,3
2017020010,2,2017-10-05,CHI,PIT,10,1,1,1,10,0,30,5,20,24,7,12,1,44,0.549296,4,0,29,0.450704,32,3
2017020011,2,2017-10-05,ANA,ARI,5,4,1,1,5,2,26,11,7,19,11,15,0,41,0.571429,18,1,30,0.428571,8,3
2017020011,2,2017-10-05,ARI,ANA,4,5,0,0,2,5,19,11,15,26,11,7,1,30,0.428571,8,0,41,0.571429,18,3
2017020012,2,2017-10-05,L.A,PHI,2,0,1,1,2,0,17,13,8,24,10,8,1,27,0.520548,10,0,35,0.479452,10,3
2017020012,2,2017-10-05,PHI,L.A,0,2,0,0,0,2,24,10,8,17,13,8,0,35,0.479452,10,1,27,0.520548,10,3
2017020013,2,2017-10-06,NYI,CBJ,0,5,0,0,0,4,26,14,18,28,14,14,0,29,0.5,11,1,37,0.5,9,4
2017020013,2,2017-10-06,CBJ,NYI,5,0,1,1,4,0,28,14,14,26,14,18,1,37,0.5,9,0,29,0.5,11,4
2017020014,2,2017-10-06,FLA,T.B,3,5,0,0,3,4,27,13,12,16,5,9,0,36,0.515152,6,1,25,0.484848,8,4
