gameId,gameType,team,id_skaters,position,sweaterNumber,goals,assists,points,pim,hits,shot,toi,shot_cf,miss_cf,block_cf,goal_cf,CF,shot_ca,miss_ca,block_ca,goal_ca,CA,firstName,lastName
2024010014,1,BUF,8481524,D,4,0,2,2,0,1,0,20:46,9,6,6,2,23,8,6,4,1,19,Bowen,Byram
2024010014,1,CBJ,8481716,L,10,0,0,0,0,1,1,17:00,5,6,3,0,14,5,4,0,1,10,Dmitri,Voronkov
2024010014,1,CBJ,8479580,C,18,0,0,0,0,1,0,16:10,4,3,1,1,9,5,7,6,1,19,Dylan,Gambrell
2024010014,1,CBJ,8484166,C,19,0,0,0,2,0,2,18:43,5,4,4,0,13,7,5,1,1,14,Adam,Fantilli
2024010014,1,CBJ,8480887,D,22,0,0,0,0,1,1,23:17,7,4,4,0,15,8,9,6,0,23,Jordan,Harris
2024010014,1,CBJ,8479671,R,24,1,0,1,0,2,3,14:42,4,5,1,1,11,5,5,5,1,16,Mathieu,Olivier
2024010014,1,CBJ,8483045,R,37,0,0,0,0,2,2,11:39,3,1,4,0,8,6,5,2,1,14,Cameron,Butler
2024010014,1,CBJ,8484214,C,53,0,0,0,0,0,0,12:37,4,4,2,0,10,4,1,6,2,13,Luca,Pinelli
2024010014,1,CBJ,8483460,D,55,0,0,0,0,0,2,22:45,6,3,2,0,11,7,7,6,0,20,David,Jiricek
2024010014,1,CBJ,8484808,D,57,0,0,0,0,2,1,17:16,5,2,3,0,10,8,7,7,1,23,,
2024010014,1,CBJ,8480441,R,64,0,0,0,0,2,4,15:21,6,4,3,0,13,6,5,1,1,13,Trey,Fix-Wolansky
2024010014,1,CBJ,8483432,C,65,0,0,0,0,1,0,12:20,2,1,4,0,7,5,5,2,2,14,Luca,Del Bel Belluz
2024010014,1,CBJ,8482678,D,74,0,0,0,4,0,1,15:17,5,6,3,1,15,4,4,2,4,14,Corson,Ceulemans
2024010014,1,CBJ,8482711,D,81,0,0,0,0,0,1,16:13,5,9,3,0,17,7,1,3,1,12,Stanislav,Svozil
2024010014,1,CBJ,8482451,L,82,0,0,0,0,1,4,15:17,4,4,2,0,10,5,3,4,1,13,Mikael,Pyyhtia
2024010014,1,CBJ,8484209,L,88,0,0,0,2,0,0,13:10,3,1,4,0,8,6,2,5,2,15,,
