gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2012020001,2,2013-01-19,PHI,PIT,1,3,0,1,1,1,15,10,10,22,12,9,0,27,0.435484,6,1,27,0.564516,10,5
2012020001,2,2013-01-19,PIT,PHI,3,1,1,0,1,1,22,12,9,15,10,10,1,27,0.564516,10,0,27,0.435484,6,5
2012020002,2,2013-01-19,WPG,OTT,1,4,0,1,0,3,22,16,12,28,12,10,1,28,0.555556,6,0,37,0.444444,14,5
2012020002,2,2013-01-19,OTT,WPG,4,1,1,0,3,0,28,12,10,22,16,12,0,37,0.444444,14,1,28,0.555556,6,5
2012020003,2,2013-01-19,L.A,CHI,2,5,0,1,2,4,14,8,10,11,8,6,0,21,0.507937,10,1,22,0.492063,10,5
2012020003,2,2013-01-19,CHI,L.A,5,2,1,0,4,2,11,8,6,14,8,10,1,22,0.492063,10,0,21,0.507937,10,5
2012020004,2,2013-01-19,NYR,BOS,1,3,0,0,1,3,14,8,2,20,5,8,0,21,0.396552,24,1,34,0.603448,30,5
2012020004,2,2013-01-19,BOS,NYR,3,1,1,1,3,1,20,5,8,14,8,2,1,34,0.603448,30,0,21,0.396552,24,5
2012020006,2,2013-01-19,N.J,NYI,2,1,1,0,2,0,24,6,13,13,9,9,1,28,0.411765,8,0,19,0.588235,4,5
2012020006,2,2013-01-19,NYI,N.J,1,2,0,1,0,2,13,9,9,24,6,13,0,19,0.588235,4,1,28,0.411765,8,5
2012020007,2,2013-01-19,T.B,WSH,6,3,1,1,3,2,20,4,7,19,9,2,1,34,0.540541,10,0,30,0.459459,16,5
2012020007,2,2013-01-19,WSH,T.B,3,6,0,0,2,3,19,9,2,20,4,7,0,30,0.459459,16,1,34,0.540541,10,5
2012020008,2,2013-01-19,CAR,FLA,1,5,0,0,1,2,32,18,11,14,3,8,0,42,0.491803,14,1,25,0.508197,16,5
2012020008,2,2013-01-19,FLA,CAR,5,1,1,1,2,1,14,3,8,32,18,11,1,25,0.508197,16,0,42,0.491803,14,5
2012020009,2,2013-01-19,STL,DET,6,0,1,1,1,0,26,13,10,9,9,8,1,36,0.464286,18,0,14,0.535714,30,5
2012020009,2,2013-01-19,DET,STL,0,6,0,0,0,1,9,9,8,26,13,10,0,14,0.535714,30,1,36,0.464286,18,5
2012020010,2,2013-01-19,CBJ,NSH,3,2,1,0,1,1,23,10,8,31,12,12,0,28,0.463768,14,1,34,0.536232,18,5
2012020010,2,2013-01-19,NSH,CBJ,2,3,0,1,1,1,31,12,12,23,10,8,1,34,0.536232,18,0,28,0.463768,14,5
2012020011,2,2013-01-19,DAL,PHX,4,3,1,1,2,1,19,17,12,31,6,13,1,26,0.485294,12,0,40,0.514706,8,5
2012020011,2,2013-01-19,PHX,DAL,3,4,0,0,1,2,31,6,13,19,17,12,0,40,0.514706,8,1,26,0.485294,12,5
2012020012,2,2013-01-19,MIN,COL,4,2,1,1,2,2,21,8,5,22,7,15,0,35,0.542373,11,1,27,0.457627,19,5
2012020012,2,2013-01-19,COL,MIN,2,4,0,0,2,2,22,7,15,21,8,5,1,27,0.457627,19,0,35,0.542373,11,5
2012020013,2,2013-01-19,ANA,VAN,7,3,1,0,4,1,18,8,6,18,16,14,1,26,0.506667,8,0,29,0.493333,6,5
2012020013,2,2013-01-19,VAN,ANA,3,7,0,1,1,4,18,16,14,18,8,6,0,29,0.493333,6,1,26,0.506667,8,5
2012020014,2,2013-01-20,BUF,PHI,5,2,1,1,2,1,27,5,12,22,5,3,1,41,0.537313,21,0,29,0.462687,25,6
2012020014,2,2013-01-20,PHI,BUF,2,5,0,0,1,2,22,5,3,27,5,12,0,29,0.462687,25,1,41,0.537313,21,6
2012020015,2,2013-01-20,NYR,PIT,3,6,0,1,1,4,25,11,10,32,6,12,0,34,0.571429,17,1,39,0.428571,15,6
2012020015,2,2013-01-20,PIT,NYR,6,3,1,0,4,1,32,6,12,25,11,10,1,39,0.428571,15,0,34,0.571429,17,6
2012020016,2,2013-01-20,S.J,CGY,4,1,1,0,2,0,22,7,13,27,12,12,0,29,0.608696,6,1,32,0.391304,12,6
2012020016,2,2013-01-20,CGY,S.J,1,4,0,1,0,2,27,12,12,22,7,13,1,32,0.391304,12,0,29,0.608696,6,6
2012020017,2,2013-01-20,DAL,MIN,0,1,0,0,0,0,18,11,19,27,8,8,0,24,0.48,8,1,32,0.52,10,6
2012020017,2,2013-01-20,MIN,DAL,1,0,1,1,0,0,27,8,8,18,11,19,1,32,0.52,10,0,24,0.48,8,6
2012020018,2,2013-01-20,VAN,EDM,2,3,0,1,2,3,20,9,15,23,9,11,1,29,0.439394,13,0,32,0.560606,15,6
2012020018,2,2013-01-20,EDM,VAN,3,2,1,0,3,2,23,9,11,20,9,15,0,32,0.560606,15,1,29,0.439394,13,6
2012020019,2,2013-01-20,CHI,PHX,6,4,1,0,5,4,21,9,13,22,9,7,0,31,0.444444,11,1,29,0.555556,15,6
2012020019,2,2013-01-20,PHX,CHI,4,6,0,1,4,5,22,9,7,21,9,13,1,29,0.555556,15,0,31,0.444444,11,6
2012020020,2,2013-01-21,BOS,WPG,2,1,1,1,1,1,23,13,15,24,11,18,0,27,0.552239,8,1,27,0.447761,4,0
2012020020,2,2013-01-21,WPG,BOS,1,2,0,0,1,1,24,11,18,23,13,15,1,27,0.447761,4,0,27,0.552239,8,0
2012020021,2,2013-01-21,T.B,NYI,3,4,0,0,3,3,15,8,6,27,6,7,0,26,0.530303,26,1,44,0.469697,18,0
2012020021,2,2013-01-21,NYI,T.B,4,3,1,1,3,3,27,6,7,15,8,6,1,44,0.469697,18,0,26,0.530303,26,0
2012020022,2,2013-01-21,STL,NSH,4,3,1,0,4,1,30,13,14,17,8,6,0,39,0.4375,16,1,24,0.5625,8,0
2012020022,2,2013-01-21,NSH,STL,3,4,0,1,1,4,17,8,6,30,13,14,1,24,0.5625,8,0,39,0.4375,16,0
2012020023,2,2013-01-21,BUF,TOR,2,1,1,0,2,0,13,8,7,19,16,17,1,20,0.296875,38,0,35,0.703125,30,0
2012020023,2,2013-01-21,TOR,BUF,1,2,0,1,0,2,19,16,17,13,8,7,0,35,0.703125,30,1,20,0.296875,38,0
2012020025,2,2013-01-21,DET,CBJ,4,3,1,0,3,1,28,10,12,22,4,6,1,42,0.477612,23,0,33,0.522388,23,0
2012020025,2,2013-01-21,CBJ,DET,3,4,0,1,1,3,22,4,6,28,10,12,0,33,0.522388,23,1,42,0.477612,23,0
2012020026,2,2013-01-21,ANA,CGY,5,4,1,0,5,2,19,8,10,18,16,14,1,24,0.569231,6,0,25,0.430769,4,0
2012020026,2,2013-01-21,CGY,ANA,4,5,0,1,2,5,18,16,14,19,8,10,0,25,0.430769,4,1,24,0.569231,6,0
2012020027,2,2013-01-22,WPG,WSH,4,2,1,0,2,1,31,5,9,28,4,16,0,39,0.566038,18,1,34,0.433962,30,1
2012020027,2,2013-01-22,WSH,WPG,2,4,0,1,1,2,28,4,16,31,5,9,1,34,0.433962,30,0,39,0.566038,18,1
2012020028,2,2013-01-22,CAR,T.B,1,4,0,1,0,3,28,10,16,15,7,7,0,36,0.467532,16,1,26,0.532468,14,1
2012020028,2,2013-01-22,T.B,CAR,4,1,1,0,3,0,15,7,7,28,10,16,1,26,0.532468,14,0,36,0.467532,16,1
2012020030,2,2013-01-22,PHI,N.J,0,3,0,0,0,1,17,5,11,13,6,5,0,24,0.527273,36,1,26,0.472727,34,1
2012020030,2,2013-01-22,N.J,PHI,3,0,1,1,1,0,13,6,5,17,5,11,1,26,0.472727,34,0,24,0.527273,36,1
2012020031,2,2013-01-22,DAL,DET,2,1,1,0,2,1,20,5,10,35,8,8,1,32,0.416667,10,0,40,0.583333,6,1
2012020031,2,2013-01-22,DET,DAL,1,2,0,1,1,2,35,8,8,20,5,10,0,40,0.583333,6,1,32,0.416667,10,1
2012020032,2,2013-01-22,NSH,MIN,3,1,1,0,2,1,21,9,8,23,7,13,0,26,0.431034,15,1,30,0.568966,15,1
2012020032,2,2013-01-22,MIN,NSH,1,3,0,1,1,2,23,7,13,21,9,8,1,30,0.568966,15,0,26,0.431034,15,1
2012020033,2,2013-01-22,STL,CHI,2,3,0,0,1,2,29,7,17,20,7,7,0,34,0.433333,11,1,27,0.566667,9,1
2012020033,2,2013-01-22,CHI,STL,3,2,1,1,2,1,20,7,7,29,7,17,1,27,0.566667,9,0,34,0.433333,11,1
2012020034,2,2013-01-22,COL,L.A,3,1,1,1,2,1,25,8,6,24,8,14,0,31,0.516667,14,1,29,0.483333,10,1
2012020034,2,2013-01-22,L.A,COL,1,3,0,0,1,2,24,8,14,25,8,6,1,29,0.483333,10,0,31,0.516667,14,1
2012020035,2,2013-01-22,S.J,EDM,6,3,1,0,3,1,20,7,9,22,7,6,1,31,0.544118,12,0,29,0.455882,12,1
2012020035,2,2013-01-22,EDM,S.J,3,6,0,1,1,3,22,7,6,20,7,9,0,29,0.455882,12,1,31,0.544118,12,1
2012020036,2,2013-01-23,TOR,PIT,5,2,1,0,4,1,12,3,10,20,11,9,0,24,0.492754,15,1,30,0.507246,31,2
