gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2009020001,2,2009-10-01,BOS,WSH,1,4,0,1,0,2,17,11,10,20,6,14,0,20,0.387755,13,1,34,0.612245,15,3
2009020001,2,2009-10-01,WSH,BOS,4,1,1,0,2,0,20,6,14,17,11,10,1,34,0.612245,15,0,20,0.387755,13,3
2009020002,2,2009-10-01,TOR,MTL,3,4,0,1,1,2,37,17,22,22,16,13,0,46,0.5,27,1,27,0.5,25,3
2009020002,2,2009-10-01,MTL,TOR,4,3,1,0,2,1,22,16,13,37,17,22,1,27,0.5,25,0,46,0.5,27,3
2009020003,2,2009-10-01,S.J,COL,2,5,0,0,1,4,25,14,11,10,5,4,0,40,0.711111,13,1,20,0.288889,17,3
2009020003,2,2009-10-01,COL,S.J,5,2,1,1,4,1,10,5,4,25,14,11,1,20,0.288889,17,0,40,0.711111,13,3
2009020004,2,2009-10-01,VAN,CGY,3,5,0,0,1,3,36,12,13,18,13,12,0,42,0.526316,10,1,23,0.473684,12,3
2009020004,2,2009-10-01,CGY,VAN,5,3,1,1,3,1,18,13,12,36,12,13,1,23,0.473684,12,0,42,0.526316,10,3
2009020005,2,2009-10-02,CAR,PHI,0,2,0,1,0,0,21,12,8,20,10,5,0,28,0.553846,29,1,27,0.446154,25,4
2009020005,2,2009-10-02,PHI,CAR,2,0,1,0,0,0,20,10,5,21,12,8,1,27,0.446154,25,0,28,0.553846,29,4
2009020006,2,2009-10-02,PIT,NYR,3,2,1,1,2,2,24,11,16,16,12,20,1,31,0.5,13,0,27,0.5,9,4
2009020006,2,2009-10-02,NYR,PIT,2,3,0,0,2,2,16,12,20,24,11,16,0,27,0.5,9,1,31,0.5,13,4
2009020007,2,2009-10-02,CHI,FLA,3,4,0,1,4,5,46,12,20,17,11,16,1,55,0.573529,6,0,24,0.426471,6,4
2009020007,2,2009-10-02,FLA,CHI,4,3,1,0,5,4,17,11,16,46,12,20,0,24,0.426471,6,1,55,0.573529,6,4
2009020008,2,2009-10-02,DET,STL,3,4,0,1,1,3,24,9,13,14,9,11,0,34,0.539683,8,1,23,0.460317,10,4
2009020008,2,2009-10-02,STL,DET,4,3,1,0,3,1,14,9,11,24,9,13,1,23,0.460317,10,0,34,0.539683,8,4
2009020009,2,2009-10-03,VAN,COL,0,3,0,0,0,1,27,8,13,20,5,5,0,35,0.54902,24,1,27,0.45098,18,5
2009020009,2,2009-10-03,COL,VAN,3,0,1,1,1,0,20,5,5,27,8,13,1,27,0.45098,18,0,35,0.54902,24,5
