gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2018020001,2,2018-10-03,TOR,MTL,3,2,1,1,2,1,20,13,14,29,12,21,0,26,0.587302,8,1,36,0.412698,6,2
2018020001,2,2018-10-03,MTL,TOR,2,3,0,0,1,2,29,12,21,20,13,14,1,36,0.412698,6,0,26,0.587302,8,2
2018020002,2,2018-10-03,WSH,BOS,7,0,1,1,3,0,20,8,10,20,11,14,1,37,0.316667,14,0,25,0.683333,32,2
2018020002,2,2018-10-03,BOS,WSH,0,7,0,0,0,3,20,11,14,20,8,10,0,25,0.683333,32,1,37,0.316667,14,2
2018020003,2,2018-10-03,CGY,VAN,2,5,0,0,2,5,25,15,16,13,4,5,0,35,0.576271,7,1,23,0.423729,19,2
2018020003,2,2018-10-03,VAN,CGY,5,2,1,1,5,2,13,4,5,25,15,16,1,23,0.423729,19,0,35,0.576271,7,2
2018020004,2,2018-10-03,ANA,S.J,5,2,1,0,3,1,10,6,13,30,20,16,1,15,0.483333,6,0,33,0.516667,6,2
2018020004,2,2018-10-03,S.J,ANA,2,5,0,1,1,3,30,20,16,10,6,13,0,33,0.516667,6,1,15,0.483333,6,2
2018020005,2,2018-10-04,BOS,BUF,4,0,1,0,2,0,21,9,6,30,16,12,1,26,0.432836,6,0,32,0.567164,4,3
2018020005,2,2018-10-04,BUF,BOS,0,4,0,1,0,2,30,16,12,21,9,6,0,32,0.567164,4,1,26,0.432836,6,3
2018020006,2,2018-10-04,NSH,NYR,3,2,1,0,3,2,28,8,20,33,10,11,1,33,0.52459,6,0,36,0.47541,6,3
2018020006,2,2018-10-04,NYR,NSH,2,3,0,1,2,3,33,10,11,28,8,20,0,36,0.47541,6,1,33,0.52459,6,3
2018020007,2,2018-10-04,PIT,WSH,7,6,1,1,5,6,30,12,13,24,6,10,1,41,0.528571,4,0,36,0.471429,12,3
2018020007,2,2018-10-04,WSH,PIT,6,7,0,0,6,5,24,6,10,30,12,13,0,36,0.471429,12,1,41,0.528571,4,3
2018020008,2,2018-10-04,CAR,NYI,1,2,0,1,1,1,40,16,18,15,9,7,0,46,0.6,6,1,20,0.4,6,3
2018020008,2,2018-10-04,NYI,CAR,2,1,1,0,1,1,15,9,7,40,16,18,1,20,0.4,6,0,46,0.6,6,3
2018020009,2,2018-10-04,CHI,OTT,4,3,1,0,4,2,34,12,14,18,14,15,1,43,0.473684,6,0,25,0.526316,6,3
