id,season,Links,gameDate,gameType
2013020007,20132014,20007,2013-10-03,2
2013020021,20132014,20021,2013-10-05,2
2013020048,20132014,20048,2013-10-10,2
2013020068,20132014,20068,2013-10-12,2
2013020079,20132014,20079,2013-10-14,2
2013020103,20132014,20103,2013-10-17,2
2013020114,20132014,20114,2013-10-19,2
2013020138,20132014,20138,2013-10-23,2
2013020139,20132014,20139,2013-10-24,2
2013020155,20132014,20155,2013-10-26,2
2013020184,20132014,20184,2013-10-30,2
2013020188,20132014,20188,2013-10-31,2
2013020204,20132014,20204,2013-11-02,2
2013020217,20132014,20217,2013-11-05,2
2013020230,20132014,20230,2013-11-07,2
2013020247,20132014,20247,2013-11-09,2
2013020262,20132014,20262,2013-11-11,2
2013020277,20132014,20277,2013-11-14,2
2013020289,20132014,20289,2013-11-15,2
2013020309,20132014,20309,2013-11-18,2
2013020317,20132014,20317,2013-11-19,2
2013020326,20132014,20326,2013-11-21,2
2013020341,20132014,20341,2013-11-23,2
2013020355,20132014,20355,2013-11-25,2
2013020370,20132014,20370,2013-11-27,2
2013020380,20132014,20380,2013-11-29,2
2013020393,20132014,20393,2013-11-30,2
2013020425,20132014,20425,2013-12-05,2
2013020438,20132014,20438,2013-12-07,2
2013020450,20132014,20450,2013-12-08,2
2013020467,20132014,20467,2013-12-10,2
2013020482,20132014,20482,2013-12-12,2
2013020498,20132014,20498,2013-12-14,2
2013020509,20132014,20509,2013-12-17,2
2013020523,20132014,20523,2013-12-19,2
2013020541,20132014,20541,2013-12-21,2
2013020562,20132014,20562,2013-12-23,2
2013020567,20132014,20567,2013-12-27,2
2013020577,20132014,20577,2013-12-28,2
2013020602,20132014,20602,2013-12-31,2
2013020612,20132014,20612,2014-01-02,2
2013020626,20132014,20626,2014-01-04,2
2013020655,20132014,20655,2014-01-07,2
2013020667,20132014,20667,2014-01-09,2
2013020684,20132014,20684,2014-01-11,2
2013020696,20132014,20696,2014-01-14,2
2013020717,20132014,20717,2014-01-16,2
2013020736,20132014,20736,2014-01-19,2
2013020739,20132014,20739,2014-01-20,2
2013020776,20132014,20776,2014-01-25,2
2013020789,20132014,20789,2014-01-27,2
2013020795,20132014,20795,2014-01-28,2
2013020809,20132014,20809,2014-01-30,2
2013020824,20132014,20824,2014-02-01,2
2013020844,20132014,20844,2014-02-04,2
2013020864,20132014,20864,2014-02-06,2
2013020874,20132014,20874,2014-02-08,2
2013020882,20132014,20882,2014-02-26,2
2013020902,20132014,20902,2014-03-01,2
2013020916,20132014,20916,2014-03-02,2
2013020924,20132014,20924,2014-03-04,2
2013020938,20132014,20938,2014-03-06,2
2013020956,20132014,20956,2014-03-08,2
2013020963,20132014,20963,2014-03-09,2
2013020985,20132014,20985,2014-03-12,2
2013020989,20132014,20989,2014-03-13,2
2013021004,20132014,21004,2014-03-15,2
2013021022,20132014,21022,2014-03-17,2
2013021026,20132014,21026,2014-03-18,2
2013021053,20132014,21053,2014-03-21,2
2013021063,20132014,21063,2014-03-22,2
2013021075,20132014,21075,2014-03-24,2
2013021092,20132014,21092,2014-03-27,2
2013021108,20132014,21108,2014-03-29,2
2013021121,20132014,21121,2014-03-30,2
2013021141,20132014,21141,2014-04-02,2
2013021144,20132014,21144,2014-04-03,2
2013021160,20132014,21160,2014-04-05,2
2013021187,20132014,21187,2014-04-08,2
2013021202,20132014,21202,2014-04-10,2
